node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,total
500,14096,10671,17933,12356,7962,3183,6703,19684,11584,11739,6068,12820,10588,20079,5261,7571,19246,9214,7478,9400,5506,7583,9750,6791,5687,11915,5032,5978,5799,287677
501,10893,8893,5368,1611,6102,4705,24155,8199,8484,9669,5291,9077,5571,22352,6819,4041,5789,6229,7442,5763,5410,3631,5965,6803,7540,6623,5112,7298,9718,224553
502,30129,11454,7988,12109,5983,6965,20675,10300,16160,3958,5408,8954,13505,20823,11765,9158,10361,8959,11504,4749,4592,5953,7734,6058,6910,6443,4011,8888,8849,290345
503,27251,10672,4525,8245,5579,4688,27837,23773,26236,3775,5997,3633,3882,21367,10847,10839,11282,10254,6293,5523,9444,5561,5747,5103,5055,5555,4618,5244,7932,286757
504,23093,8338,3055,4505,6581,10921,20786,11996,5132,4303,8232,5923,3346,16389,4328,6089,4952,7443,5983,12922,8367,4215,6958,4642,5791,6655,3707,4376,10255,229283
505,13795,5178,4498,9039,5931,7520,11557,10216,6863,2855,5279,9361,7367,9459,10867,4736,10377,6779,5813,3002,5693,3990,3996,2847,6537,4943,12091,10781,18611,219981
506,15084,2710,3634,5632,9388,5639,9193,13999,15526,9341,8432,6178,16640,6621,19455,8519,4536,13831,6723,6339,4394,5542,5081,3487,3457,9935,13299,12895,11377,256887
507,22938,12034,14441,12847,5650,6091,6756,19815,9935,11962,7651,5417,7287,7555,7189,4699,3865,10451,9902,6128,6117,8850,3489,1769,12391,23740,17825,15923,16108,298825
508,20580,19852,9355,10015,9783,8251,8318,23372,14857,10956,5456,10921,5986,8297,12797,7038,7361,12644,13387,3320,9557,6278,12582,11920,24522,38153,35063,36391,31982,428994
509,13749,13455,22784,25200,15023,19065,12408,16205,20272,12080,11457,10273,10190,17260,16864,11067,16525,8871,4938,10352,12614,19659,19390,16845,13869,14722,23609,25689,29916,464351
510,17084,7100,15228,16920,9226,6296,12482,20040,35198,19049,12758,12827,8085,15733,6315,12543,13238,8193,4056,6831,8574,13389,15755,12461,10132,11151,12025,15078,11712,369479
511,40705,25072,18346,24487,19276,16506,18139,29857,31399,32372,19043,31168,8680,11914,16444,18499,23171,31700,24774,11637,7666,24123,16902,14011,12797,15300,16448,16654,36602,613692
512,19457,50236,28329,45570,7142,4488,12700,4278,4148,4342,4898,8329,6887,8993,4181,5475,4271,4073,3385,2722,5955,3543,39778,4918,3655,3696,2954,6485,12089,316977
513,40194,7489,6303,1547,11926,4658,5416,4402,2823,1823,1882,4350,6696,5526,6353,4256,7031,4623,3414,3330,3906,4614,3225,11329,6555,3038,2776,3432,6742,179659
514,32472,7273,10161,5409,4985,11091,3761,3026,1312,1087,4430,1449,5142,6003,6799,7732,3526,6473,4986,7260,5926,4946,5524,4163,7519,2898,4180,5607,4989,180129
515,46460,25395,9028,7198,3341,21911,2075,2539,1355,1084,2129,1024,2624,7313,7012,7863,7923,7851,3964,3954,4300,1848,2160,2044,18036,2239,2052,2897,3038,210657
516,35725,17456,14312,2059,17751,5659,2745,2402,551,2387,2300,1851,2766,2287,2907,1946,1709,2690,1396,3389,2183,5298,2477,5133,2757,1369,952,3044,3371,150872
517,27405,11899,8717,4136,28592,2419,1426,412,604,1582,1469,2243,1907,2279,2245,4281,3483,3610,2826,3154,4485,4980,2724,4624,2670,3014,1539,1708,3530,143963
518,32494,5875,9104,1909,25513,3795,1386,1447,1688,1938,1908,1827,4585,3265,4288,1867,6268,3120,1452,2674,2414,2927,3211,8034,1849,1733,1817,1790,2030,142208
519,36535,21940,33260,8256,2714,1756,3832,2945,1398,1268,5396,4596,5173,3064,2158,3368,2127,1193,1132,3113,1556,5544,2498,4363,3110,3406,3119,4123,7977,180920
520,49382,17219,12758,4526,3371,6552,3164,3539,3857,8499,6539,6532,2857,4653,1550,1922,2373,2267,6903,3269,8711,2233,5433,2894,2295,4934,2885,2955,22031,206103
521,59630,19655,13857,4865,3024,6005,3224,3199,3860,9169,9225,6832,3843,2773,1130,2321,2314,1056,6140,2601,6173,3522,6629,3733,3815,6086,5091,5593,13104,218469
522,34060,21671,11424,6678,3640,6481,2542,2479,3697,6406,8636,6939,3892,3131,2265,1981,1526,1056,5288,3964,8534,2142,5595,4367,2505,6418,4851,5924,12736,190828
523,51541,21718,10822,4004,1809,6411,2987,2124,1177,5588,4615,6638,7353,5718,4482,3408,2228,1720,7183,1941,5856,1220,6202,4096,2038,4105,4706,2667,4832,189189
524,48187,19803,12077,3457,2242,7328,892,2831,1557,2364,4508,3934,4798,4300,2939,2611,2083,1483,7867,3405,5613,2013,9657,5144,855,1359,4934,5406,6167,179814
525,56751,16048,7092,2373,1111,7651,3302,2445,2079,2726,3611,3488,2982,5281,1279,6622,2038,3777,6164,1807,6260,3830,5852,813,1370,2192,1158,1860,2484,164446
526,55194,20916,5495,2442,3388,5262,2537,2732,1121,2085,4216,2566,2614,2063,4719,489,5141,2526,11441,4701,6599,967,6771,2142,811,1718,3904,3550,3221,171331
527,41586,22454,21411,4353,1528,1762,3514,835,892,833,3666,5150,1335,2093,4044,4673,2404,2394,3057,7803,2472,5077,3008,2742,3525,2539,1663,1129,3025,160967
