node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,dir_29,dir_30,dir_31,dir_32,dir_33,dir_34,total
428,34629,17461,24073,30289,18756,20248,25437,13334,3139,9389,11164,14338,38407,6195,15558,5474,13792,11673,15584,2601,9476,10400,5951,1520,9831,7818,7535,17805,5094,8234,18132,5377,3119,4775,9286,455894
429,17386,21375,36520,23794,20885,33184,11906,10585,9977,9569,16876,18435,49825,2080,3459,6207,8403,5008,9868,6476,5101,8331,14648,6799,19687,17517,7181,26426,12064,8302,6425,13914,4705,5930,10795,489643
430,21066,49784,11519,26186,10199,20207,14961,36673,15570,15200,55247,37252,9771,9472,37772,20775,11476,14781,13307,9144,8579,15762,17234,5856,7165,23807,36746,47853,5497,12371,30156,47126,7618,14808,8888,729828
431,7681,24839,17635,8924,8450,3447,12157,8271,9679,6304,7185,23347,9346,2340,4324,8669,8685,18552,7436,23925,5772,10244,9197,4852,8483,4008,10746,2377,6492,28701,4827,10571,3251,10028,8394,349139
432,29029,8188,14744,9570,6260,12297,19064,10912,6247,12400,7917,30938,15563,15121,28489,5816,23284,3321,4623,7157,6471,16556,10463,4018,9700,14055,17761,5569,12481,16856,3339,15290,1554,8256,10409,423718
433,9158,10593,7014,5209,8243,6096,18748,8057,9241,10389,8016,25353,19856,25210,2907,23164,10339,6784,5452,5841,8717,4829,4222,6457,5806,19764,6032,1502,4715,2846,18797,12005,4827,11142,24779,362110
434,9656,6926,13477,23991,8272,10462,18655,11539,15924,7446,6713,28295,17647,28312,17946,7933,3770,9224,1918,8376,7662,9427,5850,9860,19539,3843,7388,2634,12915,6753,9834,1368,3491,7295,8293,372634
435,10458,9140,6241,30029,6750,8991,18531,6754,6817,10307,14303,20811,32050,26334,9775,4554,2543,2579,14691,2332,12372,7902,4727,5329,15251,10081,13643,6729,9111,17370,19006,3114,4946,15686,9121,398378
436,43020,43175,19354,26013,16233,7634,64552,17864,12782,11934,9031,12306,27975,48052,11102,15344,10529,12473,12812,14979,19838,17508,12512,13552,13779,11713,14243,23299,14937,11719,11788,13504,9000,23802,7475,655833
437,38411,26901,14306,26734,13320,34137,19459,19914,11023,15317,16312,9160,46454,15925,4367,7883,7050,5373,8959,6922,14808,14469,12541,45415,8603,7995,7425,30607,6278,2051,3929,3828,5080,13032,24011,547999
438,16269,40473,13203,13801,20459,23707,13629,26653,11146,11215,12541,29136,8090,12985,13460,10271,8148,16561,8315,60853,13189,6054,7101,3921,7092,7282,4052,2541,16372,4958,6451,3338,6023,22585,31058,512932
