node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,total
207,52568,52678,106511,73900,78296,66078,68313,76444,112719,137137,220487,245345,43631,96493,108742,100293,48201,84936,35088,49755,97397,91050,107523,99910,67168,48197,91692,103384,121433,2685369
208,368895,145019,108263,85038,121085,347660,90657,84122,116712,129323,269677,114168,86927,114759,91683,179793,76376,103324,122177,95742,86796,121882,128135,114377,118683,97148,117343,183226,179481,3998471
209,218414,169957,169865,132100,167855,168259,123294,140541,116595,130619,329089,130803,59946,142162,51643,107453,154542,69849,132808,98097,136301,99041,67170,184721,118327,243533,128482,70743,386344,4248553
210,173377,135982,157471,85580,78710,147729,92017,61232,105158,106369,72929,82691,98107,125879,58195,54203,125937,79496,78919,158087,53056,69561,106418,85920,63041,155742,119096,128397,269787,3129086
211,128423,170126,118260,90202,65662,102318,113741,66631,61102,167095,122838,109271,70734,75914,142322,155343,74207,101877,163906,119178,35522,60626,58870,78028,38363,137267,144942,168348,155743,3096859
212,246719,124511,186158,94223,106474,174942,104454,179072,82323,200456,106714,100243,115871,118934,61205,116829,34868,40649,74237,70288,139031,53083,202988,72527,56323,398202,106998,114879,141924,3625125
213,70044,94355,116962,173565,70390,107185,83625,76796,123156,152199,89824,58561,106852,61181,153525,106898,43389,96225,71440,62963,38095,180133,95853,68466,144807,122521,90469,113853,134097,2907429
214,48072,52125,70686,93365,96250,383971,326670,283581,268128,237765,310316,58861,54977,74927,30097,111648,49823,153889,85583,31572,214405,165425,30995,170147,199512,150964,176200,148487,98053,4176494
215,69366,88773,314391,78683,294330,401432,374675,280329,253330,467707,317978,117326,111073,182055,92043,52469,81460,182444,32852,68341,180421,28463,186391,86097,113824,138339,135951,203164,275758,5209465
216,71606,99082,87229,208311,313278,362283,301936,224132,241734,307529,246870,70929,152679,183224,167506,154335,198155,208465,119028,44699,91930,68207,78030,37810,171168,57250,113820,167633,38580,4587438
217,102034,72197,211372,273256,304032,385180,278368,252667,256749,126977,277676,45429,151065,44088,49228,242684,60943,103582,152058,134756,65258,59772,270888,191471,57738,111920,182725,159218,93492,4716823
218,81486,170915,264808,241064,311969,355667,291604,282773,64377,119171,342098,149987,129770,143594,171727,90831,108660,122649,183491,78586,56167,127933,56230,45699,147611,36264,148031,84701,36578,4444441
219,152933,254174,210172,231418,275523,294214,275165,61613,92751,117051,225368,65037,97968,39225,70912,105191,81827,101864,132800,174023,131847,131841,121413,73386,148225,46718,158449,30059,182901,4084068
220,262847,194664,248416,232709,287529,282733,64216,81463,81940,127542,274846,127498,38643,58457,70946,27022,94819,77237,34035,127017,119029,61636,85903,141800,238880,100577,190769,225551,38385,3997109
221,204702,207736,228780,249307,300366,57394,73526,82274,88070,126939,306561,93556,140192,122896,76698,80786,119496,55941,79238,121392,83161,80108,32105,108279,59126,38889,174573,123155,162803,3678049
222,85772,81502,83787,76839,89296,135752,88453,84122,83933,187617,60364,250986,176435,52625,163522,185079,85073,78715,110764,212655,69176,120615,126037,53632,116449,71464,58468,168021,97242,3254395
223,129428,78176,67801,88402,56488,94525,77565,75075,58462,134433,74801,268858,107833,118885,142697,48954,105030,61259,29871,62679,34677,109175,99907,94130,108866,69205,195703,149219,65509,2807613
224,62656,88211,82803,77165,76932,85325,98257,78202,64971,86570,97638,224620,42588,81652,95154,81958,54755,85446,128623,70669,70129,131834,103324,90657,70780,92658,103239,119403,86344,2632563
225,62515,73932,102723,88503,83524,89964,88979,122198,70536,129425,173429,218557,74333,81836,101807,48054,60467,115025,85323,53617,107368,123132,51569,73546,86075,51526,109116,152006,140546,2819631
226,44058,68653,63050,125556,112434,58199,77672,87834,136845,149747,252411,228035,66404,54964,89716,82478,70301,69615,101838,47133,132911,81579,45249,125542,36092,71886,185966,119168,132490,2917826
227,528058,240881,115741,167049,125227,430942,132012,85473,82101,118048,301653,154210,129219,117377,128944,132173,143331,110911,109203,106745,108340,123548,134522,100273,98193,159685,187029,123334,325603,4819825
228,193317,195934,129656,149244,238992,275965,147314,140755,120995,145799,310701,169712,108029,102660,79004,60058,109812,76265,33286,168199,72676,72465,259763,85619,138439,310191,115173,103334,293771,4407128
229,192152,118772,110628,70871,108326,88476,128857,79496,85189,113433,65049,94957,126146,64243,166014,69161,158515,53614,98951,125180,88887,135511,144775,40973,36953,105966,93151,134318,183223,3081787
230,142012,146712,279394,215725,226148,179795,169227,166560,112407,191368,89532,59019,41261,108780,99582,119500,53227,76557,98565,184793,129315,157267,149796,132713,185345,141675,156724,139440,160209,4112648
231,91997,86647,200198,211107,182093,168872,144066,151026,124709,138591,148306,203816,69364,208473,95542,114743,52290,134825,27929,77061,83756,37623,98749,53044,49758,123862,122478,155129,203569,3559623
232,92513,80913,157363,199532,209329,170972,135642,147765,167127,172987,99470,121732,119842,168821,34872,74331,82152,208670,92202,125420,49570,100740,89995,72194,218510,75442,102601,156028,88383,3615118
233,262390,72577,195886,129491,199805,315612,461159,260934,331884,193460,308891,70421,76474,58134,48162,123875,115000,140103,125294,216774,31102,114726,27560,152349,312489,37308,149293,199865,214673,4945691
234,74514,112071,118752,128739,272337,323667,273392,255668,153423,172817,322856,49297,158726,108951,268787,43688,151395,103092,142448,52166,92772,74008,64357,98915,115973,48829,120769,152631,35839,4090879
235,152043,106224,122728,274806,271250,308081,303554,160925,172384,200339,256399,93249,55000,49248,69557,151856,268253,44493,90844,40438,133921,224032,134326,49291,189294,108406,126802,91170,82597,4331510
236,112950,111165,229989,216808,293439,341730,204938,170139,209746,100926,266836,59404,111755,92282,118035,101325,167235,52226,169103,69232,124760,48116,126617,103830,116221,38620,176781,35680,33705,4003593
237,156981,253891,212784,241289,303731,257851,229761,206943,91650,120174,283823,40821,121202,135256,33592,85913,36538,113124,117974,71516,127281,213429,86020,59713,76270,72411,164702,210457,178749,4303846
238,206329,125030,147692,150236,186459,239493,217835,85226,81219,113337,264166,117743,288680,89300,104979,126320,45195,49432,101131,188687,124284,115416,52109,107262,132858,66808,57713,125831,50575,3761345
239,157066,143860,157935,169796,191112,204989,90433,75044,98354,99373,293754,109847,76208,44807,126624,57317,52865,53340,131310,181539,55403,120705,104200,131256,82856,91649,100672,192467,160165,3554946
240,207251,167408,172946,184693,248868,87396,108826,85396,87968,105064,212658,131237,83898,118144,43983,126953,69739,136957,121529,100699,60615,69997,79234,153316,38800,50514,228173,179670,43299,3505231
241,96589,89680,83180,81904,107718,111155,102036,72290,77027,167108,64831,113988,50918,37159,151985,313699,103384,109804,156267,49418,93912,64733,107849,56481,124468,73425,113983,123354,87204,2985549
242,121957,150308,77403,79314,81719,108501,74187,84972,74939,113459,66692,218906,124129,62525,127310,67334,64086,126442,29258,29378,76489,42230,44834,234267,145534,96768,162932,160403,111418,2957694
243,182261,98592,204603,106548,66979,78912,96463,72035,86239,136629,106523,239066,112357,115063,84879,71629,73419,78179,96169,72745,94213,134662,90325,64786,48073,224928,146429,139030,124031,3245767
244,112232,91912,132359,114108,91829,107918,135199,100090,90539,124026,195851,247541,103182,66163,42390,29172,75131,154523,75867,39783,198681,65475,81960,87308,33746,123123,137426,77701,151805,3087040
245,85021,76698,107922,110351,104542,77159,97275,124187,146976,137469,276051,255767,36624,137594,110465,91419,63450,58178,72406,70535,110974,33702,27473,83341,83558,124938,137479,44498,149075,3035127
246,385168,159301,152032,124664,110499,284260,134915,150407,125267,159859,347932,240824,90488,99577,146926,164904,168652,148762,127093,95247,95289,96062,101830,115329,103890,141586,159137,112735,441228,4783863
247,405207,283879,228721,246358,266815,195610,166789,194196,173041,273969,397818,292371,53204,124360,111342,142807,132405,155439,42732,160825,138412,58006,161422,89804,159535,109378,123598,130634,238563,5257240
248,269947,325703,224055,218154,193696,229175,140250,153734,117084,207774,70104,117370,78049,181417,42229,170338,60342,167691,252414,204543,95426,128480,202706,43717,132287,35728,120212,182202,196642,4561469
249,191590,233883,225367,224902,164684,171597,132897,148769,95348,180701,95322,71442,80361,62213,197318,28905,112634,144862,163010,177316,88590,216157,52328,115540,49024,50207,158872,171614,230303,4035756
250,156790,171614,224791,244102,153504,156414,96303,130982,119791,203204,151258,51307,77696,95453,177969,94433,73370,81567,31106,72380,59540,157153,37798,115979,307175,186310,105505,169762,119161,3822417
251,166803,176556,219773,403519,168231,173741,128158,146810,227219,220948,112102,197036,42017,45624,63841,121586,95377,204384,107662,29977,152134,75581,78641,181425,172981,33188,344183,131885,191035,4412417
252,129450,118640,118579,136598,227047,297036,179810,180780,184596,184864,301762,136873,62127,86398,109166,43766,130731,64462,118852,58612,80040,54198,194188,148760,124642,82484,167875,76347,31512,3830195
253,128967,113949,132113,217356,255394,218897,191958,181907,177311,203803,290321,66060,111368,144169,168059,78953,118931,76515,200434,42073,147059,39562,56049,100651,52132,64880,167254,33233,72770,3852128
254,113033,88158,171993,146641,204883,304425,219785,215714,187392,271608,240313,50547,199679,159000,119900,85967,165607,130183,125193,147396,132792,152360,62310,65996,36075,110587,61040,186078,45525,4200180
255,95897,175575,138230,169396,221819,281752,233429,199988,204389,140988,246448,186221,174328,53258,39935,81822,46875,54443,32540,106278,234597,135402,175454,131028,113002,52057,113573,112583,127987,4079294
256,180822,134299,150373,184459,229997,270107,217370,213474,101775,134383,323967,67315,46239,99034,46653,104763,62371,111286,119525,156449,63112,28657,170429,260227,115071,62443,102371,196321,34818,3988110
