node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,dir_29,dir_30,dir_31,dir_32,dir_33,dir_34,dir_35,dir_36,dir_37,dir_38,dir_39,dir_40,dir_41,dir_42,dir_43,dir_44,dir_45,dir_46,total
317,58784,39881,10228,29439,9953,17897,9153,17439,8680,21790,8668,13869,5825,6436,8884,10974,9441,33425,7302,10883,9610,6134,10670,12882,9652,14417,9762,13806,8555,16001,9499,35939,7442,6775,7597,4144,2248,6088,6809,5890,7697,6449,51771,4855,5546,6491,6011,631691
318,51878,32715,13792,22989,7435,23858,9890,21197,10159,20156,7176,4856,8365,10817,10252,11292,4728,49006,3757,7464,8044,5816,9231,9233,5719,8181,7874,10802,8472,10925,7949,47252,2320,5385,3547,2314,6402,3261,5083,3926,7629,4310,18576,7295,6439,5132,5775,558674
319,61930,88455,39036,16552,33034,12331,30872,14244,25538,12877,8364,11584,9397,11709,8861,13848,16483,13170,28603,10821,8753,10606,16369,10632,21427,8654,11205,13777,14342,12912,20408,10505,44643,9162,7153,18199,13402,7420,7628,10394,20009,6932,60653,9327,13431,11163,9750,876565
320,58479,36935,39458,17635,18891,13164,25704,10654,12377,21302,9576,9482,7708,12213,12123,21092,15628,19041,16264,38029,7598,14392,8298,12757,11073,11520,14455,13535,18413,23006,13242,16683,40541,4263,8887,7538,11952,5939,5506,9644,16371,17450,46901,8479,25961,16698,8458,815315
321,99363,69495,38757,25476,31160,25372,15679,21652,10973,48272,14702,36745,13978,28000,15320,37819,24087,44146,48531,94360,15898,23776,23662,22403,23098,24280,33406,50605,23376,32263,33915,34028,38879,18241,21567,18079,22404,18480,16946,16155,27987,25046,74024,17958,19401,24577,15561,1459902
322,55664,51693,71200,21418,26487,16708,19652,15507,19864,16027,20632,15327,12393,12019,30708,9366,28895,34913,44544,67517,10852,38889,15018,33501,11797,41551,10800,21244,9570,28831,9529,21113,57495,13175,19507,14828,13833,14024,11262,11748,25721,13463,51211,16650,20954,26307,12652,1166059
323,60838,21799,18828,13665,9668,13333,9907,12720,15074,39348,9124,32535,11951,31245,14601,25553,9644,29710,49063,68686,13390,17706,12887,30926,18597,24249,25948,11773,24596,38228,22424,30087,36154,10425,16489,8653,13175,17743,10069,8216,9525,12206,59972,13015,13152,22459,12665,1032021
324,45839,59020,17902,33207,18270,34895,18646,27493,12856,28712,17990,23295,12607,30206,14910,33010,10254,44512,89650,67778,33856,43737,16623,36251,14424,20145,20174,28820,12937,34717,17209,29316,53725,16644,25211,14592,14272,25993,13296,12466,17449,19269,97274,15025,13132,21013,16564,1325186
325,34104,38823,12815,13789,33315,13859,9934,12267,12888,16513,12410,14209,12079,15825,8539,10563,14011,79409,36847,77793,36168,30419,24450,19919,15681,28557,13617,53309,32879,33400,21867,40513,46174,12902,10757,10499,8240,10773,10366,10990,13017,14368,65540,9446,10183,11374,9803,1085203
326,32083,33093,18677,18431,13649,14410,11978,14960,14458,15324,13905,7803,8768,21413,12190,63640,15248,37015,51773,64843,76482,20873,30806,21477,20432,20273,17297,28369,38455,33208,27237,35848,41665,8254,10083,10284,8063,9089,7337,10872,7840,12233,96156,8761,12240,12902,10842,1121039
