node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,dir_29,dir_30,dir_31,dir_32,dir_33,dir_34,dir_35,dir_36,dir_37,dir_38,dir_39,dir_40,dir_41,dir_42,total
133,348390,87203,98626,315431,713080,103338,637992,667868,481694,81446,98817,78542,179708,517818,560033,117216,161402,199787,96389,121625,59535,138772,163934,160657,70374,173350,124665,132025,128197,228532,206209,230903,69295,97764,93782,281320,115487,115095,209363,159170,137627,228121,264998,9255580
134,332646,82497,246282,481679,105767,413716,663670,691244,89872,90562,74121,196610,569436,85761,472248,93572,85785,122484,156134,153065,202169,199000,175322,154647,134443,183228,101310,101095,122488,198415,69326,89830,103765,81032,130598,113811,106952,88585,82431,132467,208055,375711,277838,8639669
135,87025,109010,67819,126141,121176,59232,115318,64844,158077,115398,120253,61233,102350,142319,111865,127683,102917,164334,80442,105934,107477,96926,96515,91187,88936,86292,84265,98764,87600,71759,87010,79918,71491,82460,107487,91014,65379,71938,69681,80384,87095,95199,98490,4140637
136,594241,724367,475253,333995,1052122,1306041,179581,1403642,101933,908726,883480,587197,602003,119504,509092,128297,81509,135297,74287,126066,200217,119572,154649,270474,370617,145719,205856,561226,261205,300672,424970,455692,289547,285341,452983,71731,92520,115862,642982,1341579,791617,95111,407743,18384518
137,144138,100644,171699,108001,491242,111183,186614,152367,512129,163376,70111,86573,81397,191901,78372,87955,84303,90807,72879,108597,142341,103799,106982,130469,146446,69999,149837,135818,128428,70128,161946,162263,166590,68857,69900,403785,521595,66888,101784,71441,123881,107480,178468,6483413
138,78135,99196,149105,75918,223029,114718,228247,69047,115096,106440,129223,73801,73832,174401,84560,118294,111069,113701,76348,103564,105222,78831,128092,101004,134935,114285,107843,76550,76619,78600,84188,177355,188104,74439,123571,81870,84490,81230,72058,78230,71966,121966,269705,4828877
139,71368,94788,83589,88262,105720,81530,199881,92255,77945,137842,123278,207392,131041,226928,97041,146297,93299,113759,131425,92976,130083,83265,126811,102983,76003,76714,74781,121803,220418,89606,123963,85120,95726,84539,83145,92404,86710,69487,90252,106607,140267,200818,210798,4968919
140,384318,205453,165871,707824,774180,94425,74443,254920,161049,92708,1005033,134018,283316,201223,102488,174075,141478,75438,100906,84346,75441,214459,82909,223821,244324,178847,119363,195332,590102,81763,310794,275750,296023,72832,340800,87239,84095,82011,74412,834879,981109,139374,140208,10943399
141,70623,206262,246844,122528,88731,230163,102492,431997,682241,73702,762126,179369,229093,511156,511814,88828,120008,74898,92437,147366,147988,139923,132763,108297,163132,235575,134310,106100,158055,83261,105716,107593,205239,246821,154909,81683,129494,107415,79343,203859,125501,149286,64237,8143178
142,274904,354748,81351,121921,99039,272181,388711,699774,91732,804755,79901,95397,637388,84191,519437,126254,146876,155444,203335,106862,147281,232402,161705,70376,89801,165370,139137,144077,95971,89403,130244,354178,129541,197116,90743,108092,87386,158784,146292,149816,137869,73258,126754,8569797
143,128767,70515,103361,78610,83300,81151,73024,70390,258394,91263,58998,94463,95256,143678,130270,147833,104052,110309,127383,118997,88801,86266,100342,114523,95950,94454,89772,85056,69129,85460,79076,84838,79645,52658,73769,85395,103537,83173,87530,98968,112493,98279,133111,4252239
144,363816,652639,101849,112504,208522,154485,118322,209466,97194,445242,131774,140404,241720,86306,369410,120400,118195,118304,104794,97706,108401,115267,170421,108612,128097,143398,113424,129352,148375,176694,100923,191799,104780,94988,106073,100493,411350,462702,100297,144597,125963,234143,234964,7748165
145,114700,189266,303681,104342,125860,225736,312349,100019,126736,98206,229444,272268,119668,294037,82372,122586,103869,112259,118682,77748,128020,82670,98801,140147,72316,86175,91222,151745,82464,167223,153247,146703,257677,89678,80272,392276,100936,79416,158859,122157,172392,221047,192591,6501862
146,171887,402510,178670,164772,318828,146103,352750,460170,299002,122164,233164,246461,423632,386303,602100,110669,116915,146873,149204,114033,149948,87468,122956,162583,347173,147877,91245,115139,94238,81024,155899,98629,131843,94275,60152,167184,184010,87307,166436,114898,277553,149962,152684,8386693
147,522468,228250,163246,416582,107129,498145,562951,215152,533246,137042,189598,386704,562445,163716,688798,91559,151486,91634,199720,90636,127959,148736,151696,203822,323973,118357,103386,84940,201375,359238,174528,207015,68339,116823,91658,64296,156841,117613,170112,88676,166846,135868,215692,9598296
