node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,total
106,16197,25526,6893,13253,4504,7720,5953,7895,18432,2989,5750,6855,8588,6403,5955,5804,33965,1583,1580,8328,1203,2029,2244,4337,6791,210777
107,7105,7001,8732,1230,5365,2638,2026,0,3358,1065,2,2779,634,1412,261,1655,1455,13170,2052,247,376,700,1507,787,3465,69022
108,19545,8403,16675,3583,8510,5362,7973,9508,5449,2662,982,5117,4689,1648,5340,2524,7386,32788,3290,2907,1704,2569,2011,1344,3548,165517
109,43633,6147,35805,4890,12477,12256,10939,6641,7062,6869,5719,8144,13282,9095,5671,42354,7256,3026,4596,14855,5828,3262,6071,7392,26552,309822
110,35002,12669,13234,5187,11091,7431,17999,4791,4370,3246,3730,4845,3370,3279,5258,40942,8284,5804,8446,12046,8892,6497,4521,7015,26064,264013
111,23193,34602,5731,25187,3243,12703,5371,12484,7499,7912,5676,2908,13123,4961,7053,5410,33400,2355,1608,4383,4036,2645,3130,3090,20211,251914
112,31490,10233,22488,2114,16812,4498,24416,4876,2748,1176,4590,6152,4961,5376,4664,11992,37884,4599,5925,3294,9661,3433,3158,3577,14026,244143
113,40025,16115,32771,9992,9128,8174,1348,3311,3090,2789,5875,3798,4876,11698,2913,9843,38459,3515,5689,6936,7603,5876,4882,4133,24145,266984
114,26654,8018,9276,6877,7818,7314,6999,2320,6533,2463,5618,9068,4902,9723,3839,6876,30636,3654,1145,1245,2611,3367,2475,3263,1727,174421
115,27195,13159,6603,4258,6560,3535,10173,4254,6572,3886,7262,10519,3494,10917,4345,7609,36779,3872,1552,1190,2572,2980,3616,1780,3150,187832
116,8069,19765,7095,13700,8556,21958,10851,12060,8303,11843,23586,13447,14626,8762,20769,35319,2898,3564,3428,3007,8957,4534,2986,5505,22680,296268
117,43313,15247,18158,7785,9790,8851,11491,1588,6131,14420,12925,9787,17521,11879,8586,20485,41152,3550,3221,4480,5093,3081,4106,1988,28734,313362
118,48556,50109,17153,27209,10822,20654,1820,16734,7292,11912,15049,23560,13613,11776,13690,15871,30358,2127,5508,1845,2207,2498,1388,2538,22031,376320
119,20375,11017,7525,7620,12129,2497,7901,2338,9212,4664,14754,7268,12262,4110,10556,3658,38568,17434,10939,10731,11757,11947,11030,13053,12681,276026
120,9970,9946,4014,1786,1597,3399,11050,1535,3066,2865,5195,4125,7888,2635,3112,4682,4472,24395,1297,2136,7556,1094,968,2385,4574,125742
121,6695,17274,2447,6268,4096,6535,2935,5073,4496,4300,4351,4640,2344,5268,5516,3995,11693,27173,4673,3500,7531,4733,4356,4527,5397,159816
122,5570,16807,4390,7624,7383,7379,4702,6258,4638,1762,3832,4467,6175,3652,4973,4177,4828,30657,2276,1317,4788,1371,2430,1256,5363,148075
123,10619,26250,1894,9173,4847,7689,2348,8351,5953,4514,5120,6755,10293,6878,11466,7875,25279,2643,1088,8196,7402,3033,1426,2303,3240,184635
124,5366,5167,4607,157,4049,0,3007,3000,3648,2155,4568,715,649,3700,1415,797,1370,15006,839,3213,1427,633,492,293,5192,71465
125,29401,17235,12918,13367,11196,12066,5510,7976,8766,5466,5844,3893,8044,2576,12307,4027,13181,33161,6897,5213,4062,5049,4250,2660,5821,240886
126,22125,9764,15893,5902,11275,4596,8614,4292,6953,7240,7239,4821,6289,15663,6432,2030,8685,35284,9300,4262,5033,4590,3000,2031,6022,217335
127,22652,5759,13555,3621,10371,10060,10509,4348,14799,5731,4130,3638,5554,5514,7923,4757,40960,8635,5096,4555,6570,5139,5570,4075,7152,220673
128,84397,55954,54686,34934,26121,23609,23485,33198,27763,44993,37931,81790,36446,40249,29018,29190,28761,31485,27603,27454,27804,30186,29783,46872,20057,933769
129,66101,56944,31163,39149,26572,22700,18445,30400,28842,42265,32502,68840,28183,45318,24576,26476,27397,42169,31723,23940,22504,21374,23443,40040,18678,839744
130,80300,53781,27154,28834,33215,22388,14803,24603,24113,34967,34347,71894,22885,50744,25103,24765,25632,39206,26375,28942,22331,21212,25157,29910,19343,812004
131,67819,52309,22841,30593,26167,22928,19675,26832,23065,35834,33228,79864,23428,45912,20886,18686,22972,18490,26960,16298,19360,16982,22969,36864,15874,746836
132,70582,61343,28064,24208,27091,37453,16082,23997,22132,33218,29047,58800,48518,43522,18652,17509,22061,23288,27760,17473,17713,18985,21790,31458,17287,758033
133,78263,23726,30706,25333,34820,39679,24898,22279,40048,26880,33142,51727,32490,45152,18724,20194,23792,21952,29950,25198,16364,21814,22187,33437,21610,764365
134,34227,26238,33720,30671,39755,43815,22491,35560,27781,34367,28483,57334,42115,42686,35449,18835,18395,19135,31841,23219,24376,18746,25117,41358,16339,772053
135,34396,28894,31678,30419,33022,39079,45210,39670,28606,21745,21606,57676,32691,28567,59308,20057,18735,22164,17265,19571,21604,19768,22597,37700,16956,748984
136,50028,48106,32428,39275,32966,36638,38291,46510,40619,29122,26695,60227,28385,62472,75887,32097,32604,31518,27778,23410,24638,22999,34060,34784,26485,938022
137,31137,30109,29263,30900,30758,27422,32223,56421,46867,30531,29099,26402,51808,36594,23065,24969,30196,31829,19155,20539,23729,26139,34877,19447,15532,759011
138,27115,39054,33383,41652,53404,44294,51586,37349,32457,23838,21082,24089,31637,20580,22372,13557,14021,22410,22551,21286,13051,10488,12673,18529,30466,682924
139,48236,38822,50999,56423,22383,41838,55795,36983,24967,20678,29297,33456,38074,36506,20830,22925,32449,35912,18258,17418,18366,18197,22807,43877,18783,804279
140,57897,60578,39180,28750,25029,24214,20587,35972,37875,42888,44821,33005,26434,24244,28824,26191,25483,38588,22454,25085,27035,22997,25857,29434,27628,801050
141,22077,30867,24907,30654,19448,14866,20225,45317,30971,30998,30837,37732,44324,31469,28283,25657,39242,28983,27876,22548,23611,21726,33940,42169,15453,724180
142,21452,27516,32419,20344,24622,17574,12597,32583,23253,17708,19026,63839,22524,42937,32778,20756,24116,32747,15857,21901,14859,16147,20303,37057,15832,630747
143,22545,22681,26914,25147,29023,14760,13546,23851,19324,17919,14340,46184,24369,45752,29336,26503,26023,28486,22739,21552,19836,19472,23044,32359,13647,609352
144,24028,26133,30998,24603,25890,29624,15090,19532,14002,14026,9783,49228,31918,53483,26678,22256,21276,41416,22586,27079,19898,16313,21547,44062,14583,646032
145,14953,13266,23395,18801,14715,22088,26967,17407,11827,13697,12104,58614,20193,41196,17760,14629,15875,14223,12195,19364,15451,14270,13370,25259,13704,485323
146,27595,30389,26897,27045,31990,37292,11376,7932,7643,36532,63495,45245,21949,25906,17843,16196,15650,28439,16063,18414,13672,14378,14210,20725,9304,586180
147,29256,25406,18985,18819,24049,28633,37159,14583,8997,32400,49268,35524,19247,37295,15890,14560,15396,30066,15007,17739,13260,16253,16657,17993,9243,561685
148,33084,23492,18317,16199,19530,23908,27804,34181,11324,23170,37805,51812,17144,33277,13627,12096,14562,12737,18355,15484,13173,13748,19471,22217,10450,536967
149,29396,20392,18769,16560,17917,21980,21918,28193,46440,22512,32606,35628,29426,41243,13371,12184,15034,15813,18453,13246,12038,16193,16235,20338,8854,544739
150,32213,29039,26224,46056,50858,16882,20763,35964,26666,16668,33199,57160,31929,59844,16691,15603,19227,18852,25923,16783,12986,13673,17924,19665,9079,669871
151,35344,36224,37426,43065,28333,40505,41157,30563,32934,45731,36397,36338,30216,41895,26351,15900,17027,19545,19149,16815,16783,15942,18782,21216,10648,714286
152,44933,37499,27787,23897,19145,17474,27034,29590,21970,22181,37030,25846,19904,16672,39188,15902,15385,20103,15978,13487,12853,13858,19269,19701,9192,565878
153,47640,40340,38477,28137,18676,20087,22943,25638,24375,22411,34505,32139,16398,27691,52896,19168,20179,21827,16225,13833,16605,15978,22286,24030,16024,638508
154,30553,26336,18109,24303,13385,15369,23819,16949,18414,16902,28283,33598,15337,20845,36263,12908,17031,23498,15831,13717,15781,16247,20661,11185,9983,495307
155,33235,28585,14628,16689,12439,20651,19416,22271,12779,12595,26391,32690,23234,14574,22109,21070,5628,8213,13947,5639,5473,7741,7047,8305,13527,408876
156,31481,31547,15608,16898,14294,12528,22818,25605,23516,21956,50805,32760,15148,24872,30714,6834,7729,11854,21778,8533,5212,6940,4466,8289,13333,465518
157,44819,30748,25627,23587,17734,22551,24196,25487,21836,25262,41648,36128,19573,8557,17890,18749,10517,16905,9984,16849,15605,13410,14417,19168,21920,543167
158,29844,21295,27836,12833,19766,29546,17068,18023,23737,26865,32315,32646,15624,36079,18225,12088,10729,29893,9651,7230,9428,10592,9935,17268,21294,499810
159,20767,27037,29839,10528,15830,21780,21492,20636,24454,26024,28368,31020,15328,49715,23274,16633,17695,19448,14784,15914,12868,13801,15712,22411,11662,527020
160,16633,30210,24730,12065,25127,19426,27279,15072,20450,24888,21937,25798,20106,57038,27782,20367,18785,19753,16125,15412,17073,15394,15990,24599,8873,540912
161,24947,34512,29912,15009,29078,34156,23559,21733,23164,23374,45094,37609,21103,35089,28445,20696,19923,20801,16309,18885,18578,14341,18249,17690,10550,602806
162,31323,29538,17007,28203,32588,33207,29726,24319,15482,14636,45655,21779,8878,61717,12452,13205,11995,18589,12671,15255,8772,11617,13833,19576,10124,542147
163,31118,17021,21600,21801,38010,15134,13773,14686,32166,24479,21152,19047,62641,15841,57769,15714,12963,12662,13806,17628,11872,12542,14107,15010,4984,537526
164,19217,15961,28581,23527,28469,12023,9079,15407,11166,22918,32974,27294,28722,15445,44480,13803,11607,14462,12788,17311,12154,10925,15306,13666,10941,468226
165,25525,25458,33858,17118,26401,15152,14840,13672,12364,25884,28406,27065,12502,49101,14584,17800,16828,13937,20240,14832,15602,15205,19204,18482,8634,502694
166,25986,18748,25257,17532,18582,22673,15008,9454,10186,31614,21683,26913,18672,48135,11534,10926,10811,14874,20723,9966,11201,10605,17234,16824,5260,450401
167,23399,24180,47849,19737,18197,26875,21827,21486,29843,20297,21726,29630,22679,51395,14783,14140,12185,15889,20311,18496,12237,11672,15951,23668,12447,550899
168,23440,34718,31476,16852,15444,21509,36669,24705,31688,22211,18707,37253,21523,35263,25527,13383,14046,14794,15047,14556,16652,13976,17317,20988,8821,546565
169,22085,20225,16839,18628,18883,27682,47528,29089,14184,12521,17095,41107,22338,18663,53758,13451,12596,14760,10371,10246,11348,13057,14034,16958,8344,505790
170,34382,25159,24110,31453,41868,38903,20326,14546,16303,15030,44035,49912,14098,30753,35102,15121,14201,15934,12621,13940,10665,10990,18505,16842,13693,578492
171,36861,22821,29888,32962,34904,20397,22728,16447,19628,18959,24113,33693,13530,19016,29791,14189,14598,24018,17203,13562,15549,19768,22175,10988,8230,536018
172,35886,25124,41087,28058,21868,15583,14198,12079,13827,18597,11493,11399,36230,16531,19375,18981,5499,3938,11437,6923,5052,3604,4828,10749,10787,403133
173,26445,17979,24084,20787,11721,12530,15937,15609,13010,11755,12420,11649,15709,35368,30099,5109,2741,7849,14884,3741,3496,4821,2614,5733,14899,340989
174,26801,28320,42047,16449,19582,24042,18509,25711,14387,18645,25583,24150,23867,8033,18090,17968,11883,17957,9671,18342,15369,16038,15568,16661,19197,492870
175,32389,40764,44418,10715,10840,24129,11099,22600,12747,13752,21218,29216,12261,36156,13668,10081,8180,19950,6975,8652,10318,6649,7576,15633,9386,439372
176,23734,27670,12328,13548,26806,23945,19058,13627,10849,10945,19830,26220,15470,33418,17942,12683,13954,15676,12212,12875,11303,10475,12707,20623,9225,427123
177,34219,28365,29749,17790,14096,19467,16392,19093,13190,11333,12756,41196,19019,34538,22109,18740,16651,19347,17310,15006,15557,13306,15814,22880,5753,493676
178,28891,27637,19384,12808,24013,26301,36263,23236,12377,14747,15493,53389,19167,31438,23753,19226,13670,18146,14308,16637,12523,14943,15578,20787,5636,520351
179,18539,12847,11288,21189,15966,15769,18390,38385,10053,7625,22034,30276,16341,44623,13881,14837,16012,14635,13009,18737,13623,15669,19118,20556,10187,453589
180,25401,27003,19549,21146,13424,11312,30498,21593,28808,10053,23437,39535,36144,7664,48900,17209,15155,13024,17604,14956,12164,13905,16369,22418,7006,514277
181,51932,39954,43372,22670,23682,32209,49467,35976,20010,34909,25546,43512,41636,12733,40916,18444,20328,17600,18615,21620,19683,19189,21148,28432,9745,713328
182,43178,29484,28344,28262,32077,31358,46349,37503,55015,37830,24423,36524,23353,29850,38325,8960,9411,13144,12787,35392,19324,8848,7457,9100,16111,662409
183,35433,14602,19985,6020,12928,6100,9738,5046,49201,37161,35536,7684,8642,8605,21806,6262,46022,4171,2979,3960,4589,14030,4001,2572,3776,370849
184,39408,22495,7388,17251,9301,8578,59218,67321,55995,25478,11784,6011,38055,6346,6138,34439,4276,2476,3963,2573,10342,5246,3756,3356,21307,472501
185,18639,8928,11161,8257,12536,2827,689,48409,24072,10303,9990,31473,8516,7987,16865,24958,15196,2849,5242,3888,3553,3693,1442,2894,19975,304342
186,45273,9798,8722,8462,8494,2185,6886,8942,16272,5258,13366,6729,7594,7018,3266,4935,20696,3268,2620,2184,1515,3151,1131,2460,36838,237063
187,24944,22247,6894,7543,7971,3780,9470,8034,21272,13069,52438,10741,9631,5527,7171,60713,24864,11954,15667,12464,9202,11521,9094,13095,9774,389080
188,21809,18966,11098,10072,14217,10258,9612,6056,12456,14671,13396,16060,16446,15854,18149,15766,55457,15083,11700,9235,15321,9528,9321,10472,20272,381275
189,12344,10413,11963,5666,12237,4148,4446,4762,34426,11942,13243,12743,14723,10251,9079,14002,9145,32433,8138,6823,9797,5778,6176,7300,11639,283617
190,34854,13927,27969,8228,27404,12288,10783,14776,28592,9649,17307,9916,23543,9682,10038,26032,24766,11791,5076,7391,17830,5305,6395,5155,20622,389319
