node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,dir_29,dir_30,dir_31,dir_32,dir_33,dir_34,total
326,13138,33460,10650,26085,8638,16394,4283,8416,2919,14632,5262,19218,6977,19980,10461,8781,16000,8173,4948,10369,22893,26345,35092,9012,7696,6123,5320,6533,5089,9855,5692,22096,3541,4532,34903,453506
327,12250,17596,27517,21929,21759,6722,17105,6965,20189,7563,7118,41419,13172,26024,13335,22916,79269,6947,27527,8616,28795,9497,23400,25029,8133,16213,14830,7489,9572,13397,16820,23664,11641,10461,21912,646791
328,24981,20058,12523,8286,38336,4627,7314,11942,5787,7954,27134,41025,16712,29247,15747,28655,42882,10226,23549,12299,23418,11408,40835,27866,6091,15382,16374,19072,10454,11545,16700,28336,11713,11635,14267,654380
329,19595,6508,13834,6085,8223,4748,8574,4794,2774,5919,6296,16089,7907,8266,10100,8650,6296,5712,14578,4586,2479,14921,15929,31936,6385,10228,8576,9688,8138,5451,10474,17607,2124,3668,24847,341985
330,26698,9741,9598,3096,12076,4865,11631,4241,11044,11279,30136,6491,11483,5345,8332,13722,3954,14450,10415,21443,13742,12969,30980,30439,23290,25106,16016,14952,22362,25733,23494,21555,15527,14183,27812,548200
331,39124,10648,23098,12890,24527,13142,22615,13885,14102,8715,26233,9756,15853,11865,11777,22288,9318,22787,10406,23137,14949,25401,41806,21581,20985,17201,19723,40263,11941,17771,21736,19795,14793,10706,22834,667651
332,15123,5253,10410,12129,28141,9166,4097,3379,7841,2953,26312,4775,15496,5519,11924,5154,20593,8064,13221,13639,10032,9985,25282,8639,9912,5409,5021,4346,20418,4501,4918,10062,4957,5447,5149,357267
333,5846,17922,11962,12273,9529,9709,9169,2982,3623,6691,17298,5025,7399,4182,12994,10651,16876,2842,6281,9881,11800,12184,35713,9529,7937,10886,12275,7665,14705,5584,10838,6071,8039,4401,8442,349204
334,10802,5352,5306,4384,5783,794,3440,1155,4411,5884,5168,2912,3264,6220,8596,14708,8230,13604,9067,7268,5154,3652,5615,30349,9515,6928,3419,6404,10910,4293,6907,10672,3681,3539,6661,244047
335,6286,10096,6974,6182,5261,7315,3131,14433,1497,4536,8208,2523,5357,10804,5371,5912,6727,8693,11209,7287,2434,9137,5584,11343,34703,11308,9115,9338,5382,7196,8970,7480,3773,3232,7211,274008
336,16074,15599,2856,10966,9234,5909,10310,3132,5749,7954,3162,13115,4282,21777,12785,13517,10245,13824,5304,8489,5436,4176,19350,1846,34833,11435,10122,9604,8286,11120,28084,5213,6016,4951,7075,361830
337,14681,23615,7024,17533,31880,5464,16877,15495,23731,5391,10158,19108,11722,5380,4756,7833,11637,25175,18834,12081,8228,5793,22092,13943,7951,12519,8514,8154,7828,26029,7173,9714,5382,4774,5073,441542
338,28612,9091,10300,8101,5704,5592,2444,31709,5726,13963,2843,4871,4874,15696,4118,17537,3326,23198,7975,23587,4284,15424,32482,9608,9783,10531,7313,8967,7743,36553,8637,8757,6895,5900,6109,408253
339,8074,15200,5152,9640,7302,7077,14858,2021,2674,9112,5021,10691,5073,8848,6910,7694,6563,13227,3246,16395,5188,15763,25204,9791,10527,10172,5578,7363,12655,25568,6582,7149,4381,3023,5277,318999
340,13641,29871,7261,3712,6489,3758,23656,8921,10980,37171,20795,7194,7699,13288,5850,23378,6499,4636,21585,5986,16548,7833,13684,22131,5287,9520,10673,6320,5958,8815,30562,8501,2728,2953,6702,420585
341,11537,45522,8600,7931,8959,5450,29384,12415,20453,23842,27731,24386,31467,8622,16463,7651,14760,5843,11042,13603,14426,36414,13539,25032,39155,20702,44698,23806,11764,15586,14699,16824,14475,12721,10823,650325
342,37272,30986,26808,6628,19088,17166,15932,21412,13897,11326,11134,19594,18995,9847,13225,8712,16376,6221,7437,15107,5761,14282,5595,75176,14276,9758,21655,15403,9545,9139,10536,11484,8770,7254,8296,554093
343,21562,35953,17865,24649,14011,4047,46408,9013,2745,9893,9530,3908,6202,6838,4773,35683,37446,17037,29895,24989,10998,15496,72872,16175,9427,16422,12743,7749,5694,6499,6106,6970,8855,5055,4630,568138
344,20032,14316,18724,6855,23427,7713,4630,2668,2520,6472,6024,7403,3293,7992,3466,13370,12075,2207,9903,12028,13749,10817,41171,10001,4156,10673,3251,5530,4623,7342,4300,4224,4468,3564,6468,319455
345,18251,12239,22956,7276,24541,9842,2327,10773,13192,6483,8958,30471,5741,9633,8570,16831,10299,9966,12512,9617,12210,12411,21171,35931,8625,9986,8449,8385,6209,6055,6432,5637,7829,9871,5441,415120
346,8717,8454,4052,5447,7884,5520,2636,6522,2700,7290,5400,27484,16834,18224,8105,3232,15335,4016,6236,21643,9494,14547,12514,5337,26028,4267,11375,6198,5704,3919,4393,3318,2511,3763,3265,302364
347,33156,12182,25707,6416,5388,3138,1955,6531,3601,3728,1920,38430,4819,6862,7961,2763,5997,29932,8313,10916,19367,16149,20091,1332,31626,5756,8663,4345,3256,2546,6930,2460,4035,2400,3040,351711
348,25574,4248,6433,4782,10540,4301,3595,6794,7567,8701,3986,16585,3464,1516,2833,5966,7848,16495,9703,4473,15200,2966,15945,13512,36660,7195,7258,7127,2061,3816,4709,7968,4107,750,2956,287634
349,35437,5192,14334,2980,15888,22267,2596,21682,5919,5983,3291,5906,2817,20995,13343,14028,10985,11538,5539,27291,39849,27114,23517,42136,8465,5150,5453,3677,7972,5429,4013,3709,4174,5932,33506,468107
350,8923,13143,7918,11904,3083,6221,4237,6753,24439,26690,4694,31885,5643,15757,5846,18963,9778,8088,19564,5427,23181,19056,33963,19772,18621,4667,11808,15991,4755,5239,9821,11457,7167,5231,25612,455297
351,14138,19090,25607,6214,15126,5450,2945,27219,6219,8406,13006,36777,14300,18731,12301,21447,8884,23330,6641,31192,9177,29029,31432,18840,5264,15323,12825,17721,13019,11698,12875,15793,11311,8044,20065,549439
352,19947,12521,7697,8140,11930,4995,2465,4719,10811,8202,7504,39818,11237,8145,6305,7422,7030,4331,4886,6054,8983,17792,4970,31232,7033,12406,9103,11591,9717,8195,11649,9531,6686,5641,33570,382258
353,26782,12394,21450,4339,11836,6495,11344,10034,7220,12005,17971,8236,15275,7331,13917,13900,3193,17521,11309,10850,21940,20461,36736,32149,24805,26911,11553,14737,19940,23321,25722,23918,19821,12919,16420,574755
354,27642,5518,13851,4427,13170,6771,7181,16341,9973,3651,22050,5540,9423,9032,5959,10797,5491,10413,12580,20508,8055,8170,39787,15314,13592,12765,12900,26596,5929,12178,12386,16089,9088,8985,18271,440423
355,24454,14079,12912,15586,12867,9546,12319,8487,8028,4755,19186,6820,10126,7608,5053,7231,34877,7974,20927,7667,11264,7187,25787,19717,12898,14999,14424,13057,19637,9926,18816,9242,12388,9345,10052,459241
356,12405,15717,6389,12871,15150,2091,5796,3667,5649,4389,19340,3865,12382,3696,7596,10297,21977,5454,10514,10975,3763,6712,33141,4214,3018,4044,2978,3490,18050,2736,3565,7890,2407,3230,2374,291832
357,15553,10066,7670,7243,8593,3064,5757,13128,5074,5475,5114,14848,7997,8251,12815,10309,8445,20200,4574,6966,11276,3580,10157,30675,9969,9541,6058,11097,10593,5020,5921,6116,4689,4053,7129,317016
358,7487,8776,3101,8232,8175,7487,834,2968,3807,2752,2707,1797,3169,10329,6686,6697,17107,6874,11402,6553,2580,9570,1831,10062,30382,11030,8959,10378,5766,10200,8855,4026,3655,2581,7088,253903
359,13979,9500,1668,9528,8676,4086,9648,12951,2857,8658,2478,12942,2592,20917,1275,10267,17471,17605,6947,8331,6008,6080,19790,11753,18024,10127,10910,10572,9711,9146,22195,6639,6889,7340,6860,344420
360,22027,16381,9344,8172,27946,2670,6353,9865,5347,19420,5424,7116,15489,20072,3460,18226,7749,13012,8894,13771,5076,10510,2400,27102,11838,7237,9483,10516,10754,31247,8049,8561,4878,5950,8143,402482
361,23858,9609,9093,6751,4666,3506,23057,4654,22006,2672,6851,6334,7393,5084,5772,2735,5555,2575,21762,7005,17864,3527,6602,34974,7464,6278,7653,8256,7479,28675,8385,10318,3933,3539,4740,340625
362,11346,9591,5029,4836,4886,6733,4122,6532,20010,9310,10534,6793,8286,6446,10401,3481,7417,7825,17974,5221,17485,8498,9550,32957,6947,14345,7679,10536,9280,32173,8376,6507,8196,4937,5181,349420
363,11751,12230,9019,8013,4933,5972,8028,7450,19950,6814,17553,7776,16038,8712,7891,5515,7533,7682,17025,8122,18310,8914,15371,26967,9664,13312,10845,7459,8640,11873,49823,10568,8688,5113,7779,411333
364,9371,31648,7290,5358,7985,4645,28109,5941,16400,15243,28536,17307,10856,5922,13100,7327,19539,3301,6047,15442,8833,13688,8093,29907,31511,10654,37591,17812,15188,12275,10404,13959,12076,9201,7874,498433
