node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,total
110,9854,15864,12485,11528,9112,12509,8092,12189,5869,5840,1562,3588,13025,5278,9333,27153,9999,6073,8814,188167
111,6871,10375,12687,7684,7682,9775,7409,8793,10755,3523,5838,4284,1699,3419,13742,9017,7278,9060,4943,144834
112,20503,10363,8841,12561,9704,5802,13415,8310,17744,5827,8193,14391,14411,7958,6984,6400,10569,7495,5973,195444
113,7265,7290,14388,10257,6419,7704,9151,5312,9234,7089,8533,10334,3162,11462,8533,3920,11661,5533,7384,154631
114,13643,12387,12424,12088,5994,4249,4988,14841,9208,10675,9990,6527,7172,14034,4401,7891,4197,428,11613,166750
115,5911,4913,7999,13306,8372,6887,7335,5336,1902,1207,6762,6937,12555,14906,5779,5370,10653,15561,11099,152790
116,6156,6902,6423,5396,4718,7452,10329,9269,3272,9143,10728,6293,3238,4159,10931,4775,8967,2498,11883,132532
117,7265,13033,9417,13960,12603,10299,4308,5291,2892,11833,6910,12691,4755,8227,4388,4543,6238,10929,7917,157499
118,8729,12098,14746,14891,9558,14800,8700,14935,2402,3077,6950,5296,11562,2517,11387,6156,5734,9289,8811,171638
119,18684,26204,9294,16145,16177,10596,310,8621,3671,3656,6701,10154,6993,10630,7005,6693,2600,11552,9281,184967
120,15729,26435,11219,19036,33025,8650,2537,11276,2983,9013,8952,14788,6899,18378,3683,11481,17882,7044,7673,236683
121,6082,12687,17169,4564,11521,7641,2533,10983,11921,6374,7943,3030,5317,9024,4162,7738,4553,4385,2234,139861
122,9364,13211,4048,11984,10631,15723,2661,4639,1154,8328,6203,13584,5763,2813,4003,1814,9234,15257,5662,146076
123,11569,20142,11488,13932,12641,17026,5148,6760,11708,7875,7689,3439,6279,3935,10932,14491,4423,9664,4004,183145
124,23386,16206,15099,5087,11304,24387,3540,6878,4115,9302,11949,7767,11354,4062,2042,16561,3338,8076,1945,186398
125,10014,12587,9633,9032,7984,7637,5030,5938,12300,6010,3751,4573,10938,4487,14887,5177,9773,390,5332,145473
126,12341,14498,10255,9420,6016,8342,7316,22708,16344,5505,13438,7294,6479,7626,6516,7407,11784,14728,7075,195092
127,9161,10313,8369,13612,12637,9757,10399,3958,4625,3638,4246,15222,8410,14437,4744,8750,6269,860,10257,159664
128,11417,16155,12971,10296,9769,5216,5521,8500,6170,5057,4075,4011,2470,5023,16007,7108,14272,2999,17098,164135
129,6929,5987,6351,8834,11375,7302,14500,5585,13107,7137,9091,6766,2712,5721,6070,4533,1348,10536,6379,140263
130,11880,16483,14149,12528,9339,8654,1173,2926,4982,3127,11471,3976,7109,477,9920,4122,4970,12060,11976,151322
131,14262,13291,16719,18253,9207,7841,4875,7133,9872,5927,1304,5831,10072,6091,5932,1004,8798,5037,9767,161216
132,13804,10810,27337,10042,10792,8648,735,14662,4934,4559,5028,11486,7250,10694,720,6822,20404,5434,7080,181241
133,7095,13925,16783,7329,11745,11289,1415,11031,4854,10828,4144,4794,8339,4375,9131,6634,5627,14179,3800,157317
134,8753,4067,14718,19395,13146,16780,5642,11458,4274,3310,10171,5742,3788,18989,7607,4340,1659,6725,7183,167747
135,9693,21303,22361,6472,30941,16434,2051,8713,4562,3454,9133,10086,15273,6243,3121,16407,17621,7663,5512,217043
136,7042,4397,9209,8680,7764,8476,5844,5444,6267,8360,9089,7078,2580,3876,3767,5952,10139,389,3485,117838
137,9237,8583,7328,8024,14734,15304,5428,6813,2612,4238,13498,5036,8158,2148,2223,6959,4099,16704,7667,148793
138,12252,20156,4614,11895,12159,12321,3164,8132,6487,5891,5441,3312,6533,3257,15676,2556,10828,787,6716,152177
139,20812,13060,4104,9778,7553,11097,2681,6812,8461,8625,13282,4650,5346,3154,6920,19903,1213,1328,7649,156428
140,17279,6431,17145,9870,7660,6643,5902,13557,6609,11798,5318,10343,6151,7382,8245,9568,6137,5436,16771,178245
141,14147,17260,11178,11979,9530,6717,12765,8173,12192,3511,8412,1370,3399,11145,3916,8597,3892,6505,5161,159849
142,6004,10674,14632,11870,10102,9851,14384,10480,11302,5744,1923,10124,5985,7647,4162,2884,588,4399,13675,156430
143,11641,19414,19591,15323,14793,15148,360,10429,4034,7139,5290,6409,12501,11725,2175,7254,3577,3836,6458,177097
144,9467,13032,7417,20149,9510,15197,2593,5614,15036,4810,3738,5674,1876,2537,9820,15138,2616,19414,9727,173365
145,11145,8628,7836,9523,11902,12647,3149,9288,6129,3707,6339,12464,7549,3754,7920,6358,8383,8439,3699,148859
146,15436,8869,17276,18412,14547,10719,1572,6757,3808,4441,646,1629,10603,10591,11065,5799,17246,8275,5612,173303
147,13315,6743,20005,15427,21269,8320,1854,10469,1287,6537,14057,7814,3285,15708,9852,1857,19198,2338,3660,182995
148,11500,9573,15560,9728,6880,15775,3481,16419,6654,8824,1120,8941,3458,9971,5222,14284,8802,6827,2706,165725
149,9121,10336,14883,9337,17484,8296,2039,6244,5247,10312,6210,4919,13049,6527,3834,6119,1319,3641,4492,143409
