node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,dir_29,dir_30,dir_31,dir_32,dir_33,dir_34,dir_35,dir_36,dir_37,dir_38,dir_39,dir_40,dir_41,dir_42,total
983,19626,26692,9210,36377,11042,9294,13157,5924,10645,8922,13762,16564,18229,26024,16893,6561,7819,33271,30698,21875,18046,9444,11664,11478,8804,9130,5591,12079,8659,9712,9164,5012,6491,6299,5738,7963,3778,3400,4039,8052,7839,5637,9887,530491
984,11534,36577,13200,47953,22037,19559,16014,7365,8125,10707,6322,9428,13465,15661,6405,4047,5219,52574,34768,19612,13749,11781,13526,11984,11324,10638,7116,9854,8909,13626,9368,7451,3564,6663,5197,8137,8284,7549,6915,11643,11393,13667,8572,581482
985,11326,44371,18512,16642,19311,17345,13289,11306,6818,8355,16283,8955,17376,19262,13476,7814,3940,56121,29143,19316,11711,11326,10524,12201,10199,14107,12201,8546,9306,11631,6765,8886,4321,6606,4766,4136,6728,11857,2377,15404,12047,12509,13577,580692
986,12424,37723,12528,16529,21069,18805,11144,11110,5226,5901,9162,7970,14685,11534,8982,5611,2726,41690,28250,15837,11369,11686,9946,7803,11417,7740,8338,6167,6760,11631,3479,3708,4664,8384,4745,5427,6557,10703,3055,11496,13742,10236,7204,485163
987,12531,37851,16799,24423,16844,15722,12279,18684,6577,7897,7693,5290,5551,16640,19925,9139,8590,49017,41837,18206,11799,21506,10160,7293,6774,10584,10069,13031,6746,17844,11611,6923,3821,6935,5303,5823,7537,28467,22124,18571,27580,15740,12109,639845
988,14303,42054,27098,25749,16545,17301,13961,17529,12688,7120,10294,9076,11519,8281,15253,25570,13794,38421,30977,22937,14679,24969,10343,14290,13563,18787,15590,13807,10879,18814,19197,7829,8701,8603,8835,11072,9832,28908,18556,18960,29487,16169,23261,745601
989,13909,40034,31227,19686,19071,10774,14972,15109,9563,8013,5299,5873,11194,7933,9156,24484,13775,37267,24437,23512,17626,28463,20069,8670,16496,16625,12809,11731,9439,12995,16645,9413,5796,7485,7173,9591,11700,20356,13839,13618,20801,28754,17445,682827
990,30603,18213,39911,20438,15836,10555,12198,12531,9159,8310,10581,4975,6234,6980,8864,31175,11309,41681,20479,31304,20156,32663,31429,25622,15624,16510,12658,15435,10533,16380,15049,11465,7381,8568,9570,16498,20371,13224,15309,25544,32521,42145,83998,849989
991,23108,28026,12106,37203,11138,9075,7749,10709,19977,16569,17251,14864,17098,13752,13611,12940,12557,13183,61696,22921,38844,23262,31360,29072,27048,24626,13428,15757,12877,74263,40675,33731,22875,17871,22022,16845,6721,16071,12943,10008,13417,14664,11623,905536
992,18471,28429,17492,44740,11595,5927,4860,9112,31084,12729,5607,4642,9571,6072,8637,20319,12338,10748,55936,31551,42721,36677,35391,31623,33567,25591,13371,9053,12904,33071,39971,11816,22026,16646,15477,7393,14731,9333,8960,6681,10589,8630,9984,806066
993,19192,35102,11932,50289,11238,5709,6238,9225,11474,21505,7955,6999,9775,11407,4953,21358,16586,18165,57218,37827,48874,42299,24931,29591,29919,26661,23756,9121,15874,19250,19368,19378,32262,25883,16011,12446,20583,17623,13389,9740,11965,8550,13927,865548
994,15890,29370,12435,29798,10856,6371,8740,6171,8245,5136,7716,5864,5034,3632,11326,2246,18886,5284,42925,21816,19711,16389,22445,19305,19201,18835,13506,12517,5886,17991,14104,15174,8025,12964,5534,7878,9424,8984,6319,4610,4469,8102,14350,543464
995,16201,22186,14112,25111,35066,6269,15128,4818,10917,5694,3828,6756,5823,5659,9480,6649,2307,13371,40901,24991,21745,13080,20863,24550,12531,18668,4908,13462,9247,12840,14654,14179,9278,13081,7453,5288,7669,5607,7844,3486,7138,5620,7526,535984
996,8470,28671,10335,51781,5344,29193,10298,8487,8930,10605,11001,4994,6921,9705,8073,5714,8687,8441,46263,22962,16736,9010,11634,9901,22742,15739,28819,4972,12122,16118,20315,12927,8140,5894,14799,7917,10697,10283,7655,9010,7777,5707,5542,579331
