node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,total
80,32927,104717,46423,32641,27429,61068,71415,26908,43112,44035,22329,44166,59483,30275,63783,23960,27968,81503,102391,25641,34564,125113,44027,32026,93147,1301051
81,76988,79634,57284,77287,26698,63521,31953,40918,56345,16052,28516,33213,28179,58760,46594,57099,39163,38512,76024,68409,115057,108168,20000,61821,63611,1369806
82,107546,38727,66718,57240,38565,73042,88114,47579,22079,151534,66917,48710,42879,41644,8073,64635,82179,73089,20000,57349,52239,60668,91822,102875,31800,1536023
83,61024,65129,43802,118881,52678,42472,53296,27056,60949,133338,32482,41652,63686,37765,15805,55365,67831,70180,53416,69842,35633,118252,74151,68945,39269,1502899
84,11285,93875,18043,34611,23107,23151,41485,30807,36401,66583,38094,65792,27972,58774,41615,35223,28763,49264,74823,65851,36265,37419,69816,42023,46869,1097911
85,85817,137058,50260,83614,103032,96249,97335,135194,48897,71542,32257,28273,23233,37164,23659,93868,31918,56934,74603,50024,45827,44464,3300,91860,36297,1582679
86,112618,39008,168082,226383,82679,171839,98611,62562,40000,62847,40620,24682,42986,33222,48937,59632,52944,63834,38057,83354,78849,53797,64822,91586,86458,1928409
87,80148,112219,69496,149301,101880,99664,143280,114770,30145,95787,41071,17571,72552,57869,56575,42788,51663,48965,44370,29477,112280,65386,48731,68718,37741,1792447
88,113623,39731,30932,149690,121408,66668,85646,42108,10000,50897,11597,40315,19289,45432,41910,52539,37517,48714,79122,123937,53031,119871,38167,23149,21473,1466766
89,46351,42868,82740,44683,47656,124004,53673,123859,41932,54028,60596,80393,33854,51312,30796,10311,40736,63751,56920,85086,63437,35122,24365,36317,53330,1388120
90,85691,72620,33440,36134,63076,74666,77058,103658,27695,67218,25030,68313,51985,43876,49294,68016,80460,87645,105910,24082,48144,65300,6688,39223,53726,1458948
91,32636,60931,47271,80276,116396,77271,36836,94311,67963,25777,35262,11782,30451,66776,115807,55178,67005,80093,44899,36582,83785,81782,39657,94236,94376,1577339
92,79695,55434,69163,40594,77915,96209,50699,89785,69854,52760,20009,43063,31921,75644,74645,82755,9968,9660,26515,52264,65326,57945,104617,59438,77565,1473443
93,119698,32276,55216,72475,40684,91163,80114,69473,56401,181528,20003,57721,36760,59738,36021,59324,33485,39319,55453,41224,100458,87077,69520,26737,50280,1572148
94,17890,98118,29870,105095,86742,21008,47520,62098,48478,7463,50777,62743,44933,77356,81870,38637,32406,40662,91782,83166,40179,57141,62305,59322,51887,1399448
