node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,total
86,13311,15079,29228,33945,52133,37967,32950,20533,19157,7797,40730,28409,6654,25952,7846,19181,14715,12551,19073,8427,10062,7294,12725,6897,16094,9508,31467,12828,14518,567031
87,17867,29327,31493,39881,41641,41273,31041,18107,8965,7725,44956,11976,14583,9747,6242,30821,10981,3178,17620,6493,20639,8068,22702,6014,11662,11797,24255,11871,19863,560788
88,22660,38048,43025,27650,38440,32797,20264,9367,9701,11363,55380,10184,15231,17627,21885,11363,9627,5639,3872,12959,23694,16522,10671,20898,19983,14503,13685,6238,14606,557882
89,29106,45491,18664,18408,37380,18241,9738,22428,4655,12362,8690,6373,13441,6859,5404,18668,9533,20755,15912,6919,19899,17327,8855,5828,10355,38903,57786,4829,13691,506500
90,3427,24539,14776,12786,13940,19216,5018,3214,4308,7863,6008,19904,13670,6651,12659,3730,12424,12238,7009,10443,2571,15435,7011,6467,7207,16620,21701,11354,5102,307291
91,5784,8179,5107,9186,4406,19423,6816,4111,3345,12178,5415,6983,6364,8647,5099,8624,10497,5892,6207,6045,4639,11745,5629,5387,6255,5290,3039,10163,2390,202845
92,5863,8915,6906,5913,15550,17453,4743,10850,2754,6161,12132,10348,8097,5914,5780,4586,8204,8610,7581,5590,6271,10458,16254,8927,4796,6866,4741,5431,10912,236606
93,3375,14404,8664,4941,6128,11725,3661,4523,6186,10908,11738,7600,8363,8084,6255,9348,4353,4152,6631,7622,11145,8432,10223,7557,6217,7829,6095,6584,7954,220697
94,25494,14461,8102,10643,4700,28072,8801,6795,7011,10955,13821,11064,14459,8440,9910,9019,8383,13210,5091,7132,8407,8331,6052,5745,12870,11082,5544,7901,15514,307009
95,14629,7674,6205,9362,8934,12739,7804,5682,9637,12187,12785,15153,11077,10788,7593,5164,12882,7877,5433,10261,7937,6137,8572,4847,9509,5606,10082,10154,17341,274051
96,22682,5121,5632,3909,5323,7385,8723,6316,5967,7860,12035,7230,11920,7949,8154,4928,6435,9258,6486,4262,13862,5151,8407,8479,7312,8299,9240,16563,9269,244157
97,9157,17812,3493,5259,7664,8779,12769,15056,6426,7270,9149,6449,5212,6111,3123,8473,3200,11201,1002,4521,7566,12887,4500,2772,19572,7327,5643,2425,6882,221700
98,5396,5864,15022,4182,7030,2456,11175,8497,9076,7706,9631,12159,8687,11598,7548,7701,4825,5610,8882,5055,7025,8334,8494,7210,3878,8159,6509,5656,6755,220120
99,5272,6277,6630,13841,25436,19461,24090,25460,18426,19523,7862,8612,5859,6845,12066,10486,11277,9822,4061,12758,8294,8868,20718,13112,6410,8875,12091,29530,10869,372831
100,6341,3424,5771,5425,25722,40028,45946,35001,34647,31935,41153,21438,11042,5234,7496,12009,4216,16406,14688,13924,11204,14976,7954,4889,19214,17147,22877,19375,18390,517872
101,8952,5640,7274,16602,38611,56071,36252,33676,27209,36438,37958,19538,14141,11594,10590,13277,8350,11243,20383,18943,5986,34487,8623,20817,11527,8496,16684,25332,19281,583975
102,47720,9714,17693,36004,52350,48324,41307,35267,52958,42815,40123,28236,5759,18228,5262,11560,7776,11131,23128,5669,21593,19961,25770,6815,23248,39962,15992,16173,13870,724408
103,3927,14550,27844,37779,42704,37209,36316,31519,22430,9274,45269,15812,11062,21077,19099,20429,15133,5272,11740,4723,16254,13699,21693,10557,7818,16301,18582,10798,9275,558145
104,13882,23583,28968,39806,37860,43734,34041,22613,9537,6946,34477,12141,16777,2968,26341,7442,24439,6020,17290,9685,12093,13146,3454,16124,5606,25573,22195,9667,10261,536669
105,26808,24705,31070,28413,38512,37685,28328,4687,6450,8333,20286,8709,7681,13224,9501,22073,7589,16499,14493,10141,8146,17894,8169,8475,15561,17594,24778,6431,19038,491273
106,35010,37384,30882,35818,37939,29948,6384,2693,8149,7623,41805,22061,13418,4953,9372,6992,9244,19503,18503,14521,3179,7338,21146,4456,14662,21779,22438,6615,11180,504995
107,47809,17128,20231,19856,37165,18022,9367,13410,25027,11851,36431,9916,6207,5508,15554,12850,8327,14401,8564,10649,9660,13172,20816,16211,9227,5469,44258,4828,23918,495832
108,5107,5891,6782,6116,15750,6774,2562,2878,5786,11087,3755,17449,10695,6147,8342,8811,8720,5336,7015,8240,8629,9665,7953,5907,9996,6772,4176,7808,8302,222451
109,6291,5522,4361,3614,9611,7524,1221,7045,7691,10036,10031,9764,9930,6248,7727,13737,9018,7231,8114,10743,7523,11622,7203,5237,5044,5034,6293,16408,8001,227824
110,8218,6907,11906,5100,15610,6510,8255,2397,9463,6419,4004,10408,9452,4369,2093,9403,3349,3816,3482,11510,8161,10404,8439,7158,8140,5135,7010,11441,11494,220053
111,6345,6253,10207,16004,15431,6572,7566,8971,10455,8774,11517,7997,15824,5155,6300,5733,8889,11552,6395,12854,16448,3252,5388,13485,4283,9781,7244,7429,5814,261918
112,20905,13527,7429,12225,28311,10821,6662,7605,9808,14106,23273,11037,11773,9421,10050,11304,8928,7907,8615,7244,8069,12161,8220,11360,5841,5471,7810,4167,7704,311754
113,28712,12866,7697,13469,10239,26468,9476,10272,10638,21422,19321,10376,8785,19090,10123,8650,17298,6096,10410,10570,9394,16315,6915,11021,9998,10140,12186,13735,12100,373782
