node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,total
88,10530,10678,5431,4568,4178,6412,4184,5692,3988,4713,3271,14461,14194,8024,7723,8348,8871,125266
89,8113,5698,5849,2254,4621,2559,3483,5458,3948,4318,3659,6883,4046,3275,3354,2592,3932,74042
90,5354,7786,4191,2516,1056,1061,1616,3286,5171,3511,4527,14281,3783,1893,3535,2188,2897,68652
91,7842,10346,5381,13618,7089,6520,6767,4481,6971,4669,7541,13407,8318,4774,3734,5305,4197,120960
92,5282,5509,2793,5047,5779,2813,1850,2906,2550,4740,4344,15320,3714,4757,5303,3878,4124,80709
93,1533,5037,9137,4970,7762,3552,9603,5584,3301,3697,3885,23401,3722,3604,4121,3235,4077,100221
94,7914,7304,7668,5739,3627,11628,5914,4193,9063,7156,6470,26382,8831,4930,1910,3210,2157,124096
95,5263,4125,4309,1592,3019,790,1648,4383,3968,2499,4943,5583,7019,3051,4150,3349,2998,62689
96,8530,3921,8498,7355,9222,4496,3695,6959,3026,11925,4274,3791,5239,4479,4894,6421,2949,99674
97,4482,6899,2174,3755,878,4467,3252,7337,4344,3715,3677,1112,6652,4163,5391,1915,3470,67683
98,730,1897,1040,2896,3493,1229,333,171,2319,469,3180,1111,11023,1375,1800,2021,2276,37363
99,7097,7140,6753,8579,3180,7349,1354,3623,2860,5793,3758,12854,7751,3397,2228,4309,2174,90199
100,8374,8831,5882,4551,4278,5451,4937,5185,4866,5807,5027,12161,6141,6005,3534,6575,3318,100923
101,7144,4202,4451,3018,2656,2661,826,6156,2958,3385,5029,13675,3775,2247,3045,2665,1770,69663
102,8603,12605,5452,3214,7575,9054,4586,3724,5696,5096,6789,14123,6348,6670,4435,8777,4303,117050
103,4141,9736,4131,5183,7179,2690,2677,2054,4047,4868,4793,7069,3048,4056,3844,2212,3431,75159
104,2919,4156,12338,1990,7617,2725,5790,6658,6224,4730,4666,19142,3855,7062,3996,4482,3885,102235
105,8762,4204,7595,4736,4606,10090,14083,6847,7033,8479,3357,24535,7924,4705,5292,2944,5380,130572
106,3155,6186,2498,4303,5279,2968,4571,1522,8174,5716,2407,3377,7671,5211,4637,4818,2924,75417
