node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,total
382,38775,99767,43634,168451,92603,94764,49546,52813,100652,102276,91590,72498,112582,80261,126830,126097,161602,21708,31043,46227,33370,40086,36574,35501,45422,1904672
383,34759,106780,88921,66877,70075,58650,47147,61872,47302,47657,57870,37611,54486,66524,36791,42269,67006,44662,36283,47356,48096,32029,28132,42141,82337,1353633
384,47217,192370,71277,94298,143424,86449,114970,78355,63456,68880,86535,73247,71911,109987,47099,65085,84325,35356,78161,58949,67044,68996,34169,60803,74801,1977164
385,99848,136294,123755,126814,118951,124053,116210,92669,125088,145647,135419,120855,212134,129766,75143,148545,83741,35131,25599,77597,71116,81057,63797,54320,144738,2668287
386,132447,55255,180448,104853,102367,81622,66157,127802,173600,131441,74667,108721,138658,125081,123353,204764,135345,35178,20185,38366,53853,54556,63565,29217,79254,2440755
387,39988,86454,82883,59864,38303,44342,31290,41547,56704,80105,47235,69032,37817,49636,42421,82692,38219,25942,37005,31308,44400,26834,21795,50415,93253,1259484
388,64990,66852,73512,67292,45531,76735,53414,54516,60745,101517,62971,57248,45370,51643,74205,103940,37148,31609,46861,65888,39342,61500,35695,28611,85709,1492844
389,47111,48127,64032,63278,53236,54928,66342,95173,60076,101704,63086,93034,53778,55254,89032,55705,43182,19125,92661,50365,32299,41774,27101,41938,56706,1469047
390,169927,204621,144404,153900,86483,96875,133476,197454,124312,113862,106810,114132,139015,163378,222030,132085,85314,116296,99796,151502,101213,38844,51277,80897,45319,3073222
391,99649,80130,75835,60105,60108,54791,57403,49103,50763,59397,49263,43669,54197,47972,45086,59205,50726,75526,44996,96534,71910,30156,34382,56574,32731,1440211
392,25015,67872,62168,42531,51252,57266,58479,58002,46140,50548,110439,49597,46999,59051,68806,50764,56316,39371,42729,26436,42104,33323,25512,66425,38408,1275553
393,29932,66030,92512,79979,81157,39744,69337,81847,48783,87069,43757,67012,54444,49004,87658,53738,61735,98387,26181,32101,66606,25514,40834,52609,62365,1498335
394,146501,74542,121135,60943,111471,87581,78460,90092,62118,119854,114704,101625,85926,111153,143226,75101,106802,41254,113504,89027,38526,88329,60506,45682,70842,2238904
395,31476,93003,57468,53945,63334,46766,112953,39599,94407,112583,55410,67659,76894,42409,40822,50436,45626,34541,28217,52751,39791,57503,30666,34017,75804,1438080
396,181916,306143,78981,261231,118153,90791,98056,159520,209051,128216,102174,102377,161730,172465,129271,125639,114909,37253,64392,58331,125893,115340,57272,60325,95856,3155285
397,76743,251576,82817,101813,157496,127352,76736,84869,124512,149331,107441,105814,93131,119883,107004,96016,157700,53702,80729,95863,55019,100341,67431,86684,69538,2629541
398,47334,102145,86798,54588,53745,73674,36042,41581,48752,72149,101903,52708,37372,44886,51176,42311,104013,38282,27968,45070,33470,39234,58975,27646,52127,1373949
399,34748,47248,44163,87335,79915,52262,60853,74901,73514,100811,93331,78463,105776,79951,71502,56834,87473,45069,26313,72290,84112,41744,74505,42246,62741,1678100
400,32896,109287,87963,84556,48689,93872,55918,87026,67931,53837,90713,44674,59412,120555,46027,46930,52798,46335,34610,69862,65316,19695,25154,50634,90285,1584975
401,136237,122601,218240,111833,65544,129124,138803,151645,70872,112096,87278,98391,138936,214479,95295,121962,129750,48375,73428,48854,165191,49200,77845,55837,75885,2737701
402,64364,56439,159042,77819,96789,143037,102585,109895,167285,96428,85809,101787,90273,142096,58933,57676,77800,39922,58190,48925,106341,139639,40541,49250,61830,2232695
403,49899,67405,109624,46873,52703,74521,50769,101191,113597,60357,62660,56607,64104,61504,47689,41046,49955,56171,28031,29919,55141,66038,63832,28370,55984,1493990
404,33707,64015,128279,108982,50505,60103,70543,85653,150569,70383,79842,153913,94851,86758,79325,132973,85975,43461,35268,65534,62017,19593,54707,94038,109361,2020355
405,54589,81724,63997,74256,96738,47048,72344,59291,104607,66186,66611,61846,38191,56101,63023,104125,36734,37561,25182,46087,43380,51215,32287,55543,72592,1511258
406,51780,143825,58440,81855,53577,117613,139103,69558,61608,61370,95873,106591,83619,78940,112402,92293,69795,35475,70862,38633,74245,53759,34794,75210,23587,1884807
407,202155,106673,117365,123395,99162,90837,79508,123819,74777,86375,101048,71031,100048,81481,62081,88216,71188,105455,58892,160479,111298,39378,64130,105549,57732,2382072
408,125704,79000,66570,54093,52632,51001,50036,47100,56470,52942,48353,42577,47152,56259,47780,54468,52610,57465,42314,63585,83801,34764,39414,66425,34320,1406835
409,24912,112178,47045,47903,50137,112394,131347,60559,57916,83309,101832,104070,108589,83888,103909,83282,69924,34777,78762,86453,48124,24115,72709,65933,32072,1826139
410,31129,89512,86515,105655,87345,65795,125098,133331,85790,90625,76068,149553,99963,71581,110087,142102,107545,63218,70659,54965,43877,66415,76055,46190,62115,2141188
411,71024,62162,45816,50825,68918,54037,112752,97791,116280,63021,45229,83778,66424,55388,108118,132474,71731,37164,85743,66798,28746,28098,39926,94324,36392,1722959
412,32237,121417,53705,67508,77623,72325,77245,73650,102129,45555,102445,42237,106792,60880,49001,51565,47796,31331,39888,55811,40155,42214,51694,46441,51067,1542711
413,42825,179430,124887,76135,77779,71172,101272,104146,178712,63916,92240,86589,153963,104868,75594,82379,56770,36707,79971,34881,57211,68413,44609,36470,75968,2106907
414,195766,297655,72603,164280,61582,136154,71360,128466,279669,102486,114074,130553,179521,188629,195821,151788,109026,39866,69490,81014,62301,94215,109098,80431,63097,3178945
415,122826,160190,72704,98479,128157,179696,71308,72266,106884,146744,181459,101062,75559,105341,145190,86225,170744,37745,69534,68213,36849,35223,102208,85949,74465,2535020
416,37043,60755,66085,39782,47633,54433,63940,58380,52477,53967,129957,69967,43906,50160,42717,43897,79927,45449,68569,33005,22238,21492,51130,47781,45951,1330641
417,27807,52536,103394,108235,49816,56974,67181,125870,61034,56504,64889,53792,75307,79887,54849,49373,116572,55472,62956,54545,65992,45567,56909,44372,50876,1640709
418,44065,59396,115898,156530,189208,122213,108486,95078,67812,100125,66267,60154,78014,88132,65533,57482,124441,37852,62474,88212,95603,64586,59862,37622,51908,2096953
419,42898,99114,132749,88540,171419,164247,112738,104903,54445,156075,77507,76250,66049,72768,57602,49856,81631,49995,30437,57526,117955,109070,32334,45714,74032,2125854
420,150389,61730,169373,66806,72645,94898,122195,242774,58604,176285,123766,146103,142500,148285,116150,123301,118394,48742,81433,58502,60586,176481,97734,37867,66038,2761581
421,34851,74997,140827,166757,122861,76895,81902,85481,166151,118753,118135,149244,100157,165936,98470,56912,83930,57647,89943,38880,122209,76340,46089,79719,86122,2439208
422,78460,111417,145902,96571,74863,74682,101710,60137,106500,116355,100243,110407,56008,113190,65924,72452,62345,32660,69824,64929,29070,92885,64757,29504,76989,2007784
423,71091,42422,48434,58660,47578,56629,97982,47620,47255,51951,78807,49237,43934,47160,40730,48412,36332,33797,48172,23923,19943,38364,41437,22759,41162,1183791
424,172058,112138,105866,110731,83282,104672,71928,71023,87006,78840,80072,59317,63742,82908,64126,89108,68585,69247,66357,86277,112885,53774,77465,85774,59524,2116705
425,130486,64201,54150,54395,47741,52347,48201,45507,48273,51291,46297,48174,43583,47527,46671,54749,51456,50696,48851,71249,96688,33702,33695,44853,39424,1354207
426,21014,37454,36834,80219,62589,49476,63754,53452,65427,79399,81641,67287,123337,58792,57293,70539,51663,49685,29782,67962,55266,48681,34930,23155,41362,1410993
427,21526,99303,45676,56298,67499,56261,48862,121753,50631,117258,41374,98929,62264,69491,103894,95463,68196,108002,42955,39452,37025,69112,30141,41436,51527,1644328
