node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,total
129,3,22,0,10,6,0,2,7,5,8,14,10,2,7,1,10,14,6,8,0,10,0,70,0,9,0,0,7,0,231
130,4,5,2,2,19,3,15,4,0,17,14,12,6,6,8,13,0,0,10,40,0,8,0,20,14,12,0,0,0,234
131,0,0,0,10,7,0,7,0,18,5,47,9,14,0,0,52,83,16,6,0,43,15,10,9,24,6,2,22,3,408
132,278,30,12,10,7,41,62,0,20,10,61,3,32,48,0,23,79,18,0,59,9,14,20,10,53,63,25,5,6,998
133,24,26,39,38,41,29,23,50,32,34,91,12,38,57,13,26,22,56,27,42,7,20,27,31,38,34,19,44,25,965
134,20,7,2,10,10,0,35,11,15,46,0,0,10,0,8,10,5,0,28,14,6,9,19,8,22,34,39,10,3,381
135,9,7,19,11,7,1,40,8,12,55,21,0,34,13,26,24,7,41,13,3,10,0,6,0,3,18,36,44,41,509
136,30,7,20,26,26,0,0,15,7,34,4,10,0,0,22,45,0,4,4,15,0,20,0,15,36,20,9,3,38,410
137,31,5,2,13,15,0,8,4,62,24,0,2,7,10,3,9,21,17,38,13,14,10,7,4,10,18,22,5,90,464
138,5,4,4,10,24,18,16,37,14,11,58,23,16,1,3,10,10,23,0,14,28,16,0,125,0,9,4,64,4,551
139,8,10,12,5,9,90,10,27,12,95,13,2,12,1,19,10,0,6,15,31,0,25,75,8,12,5,10,33,31,586
140,20,0,11,9,5,53,85,1,22,65,20,212,10,18,61,15,18,12,25,10,30,72,10,1,15,0,11,30,68,909
141,15,0,16,37,15,37,35,47,24,41,65,20,5,28,0,28,32,5,11,8,1,4,46,9,7,4,4,0,0,544
142,0,16,0,32,33,72,32,28,8,0,46,0,17,10,72,0,76,5,7,0,11,2,0,15,0,1,21,20,43,567
143,3,9,12,31,11,102,128,3,22,12,55,15,2,11,42,0,0,0,17,1,0,0,0,7,44,13,54,41,32,667
144,53,365,30,55,37,38,4,21,0,6,9,0,15,41,15,19,50,94,137,68,73,11,15,42,134,0,49,49,11,1441
145,37,33,12,39,45,4,0,31,60,11,108,10,10,20,1,2,48,10,10,16,10,44,1,0,13,7,49,20,16,667
146,21,7,18,9,24,15,0,29,0,47,0,129,5,8,0,0,23,22,0,0,18,10,25,10,8,6,8,5,1,448
147,0,5,0,7,9,3,0,10,10,22,6,16,29,0,0,21,13,7,0,0,10,39,0,13,16,3,3,14,1,257
148,25,20,10,1,19,7,19,0,10,13,7,30,35,0,0,10,14,9,0,9,13,3,20,27,0,12,10,6,8,337
149,0,0,0,25,21,11,7,0,1,36,0,0,8,10,49,48,20,16,3,5,26,13,10,14,0,28,0,11,1,363
150,17,11,20,4,11,9,4,3,0,26,7,15,11,10,43,12,0,5,20,7,2,10,8,1,10,1,24,1,9,301
151,315,57,13,2,17,96,14,14,4,8,73,0,22,26,23,8,0,8,40,83,5,7,16,13,0,11,95,6,36,1012
152,44,24,14,33,21,31,34,31,55,42,45,0,20,15,10,52,17,16,33,37,38,19,0,8,31,24,3,24,42,763
153,22,9,13,9,20,15,3,10,12,49,6,10,0,0,26,0,8,21,10,4,1,19,83,17,18,0,40,13,65,503
154,7,7,10,1,32,14,7,0,15,0,0,0,1,0,0,101,19,0,14,12,3,15,10,17,3,0,8,10,44,350
155,0,8,0,0,0,10,11,32,1,0,4,1,64,19,11,4,5,12,9,11,0,7,0,0,4,10,4,19,18,264
156,26,6,30,18,2,31,0,8,14,15,21,20,10,11,0,8,0,10,3,1,9,48,10,20,16,25,33,35,8,438
157,2,11,0,0,33,34,39,26,11,12,48,0,17,65,12,11,25,23,5,15,7,7,34,13,13,5,6,14,30,518
158,4,18,10,1,10,5,18,6,17,5,119,22,11,0,10,5,22,13,0,10,25,13,10,10,17,85,3,0,8,477
159,18,0,2,37,2,305,18,36,52,75,59,5,15,14,40,7,10,22,47,7,11,2,10,65,10,10,43,26,17,965
160,77,10,13,5,34,35,49,60,30,39,48,105,56,8,5,90,380,93,11,0,71,11,132,8,27,18,66,6,153,1640
161,12,2,0,33,29,105,98,15,27,8,28,19,20,30,7,13,5,7,0,10,12,0,7,32,4,36,28,23,4,614
162,8,4,49,17,10,93,64,7,13,14,25,8,26,10,1,0,39,3,4,8,3,3,26,27,10,24,10,24,5,535
163,5,37,30,22,40,67,2,7,0,16,126,43,10,21,41,0,10,0,37,0,17,10,0,51,8,0,10,0,35,645
164,19,58,46,34,45,6,4,5,10,18,106,3,20,10,0,20,8,14,10,13,10,21,3,9,0,12,76,21,11,612
165,11,1,0,10,7,0,18,9,0,13,0,74,0,38,64,33,3,1,9,5,21,45,27,10,12,27,16,7,8,469
166,3,7,2,14,3,0,3,7,3,12,17,8,27,9,6,10,21,15,10,25,7,12,0,10,0,10,23,0,1,265
167,19,18,0,1,0,0,7,10,18,44,6,20,0,20,0,0,9,11,6,41,10,14,29,10,8,31,10,7,26,375
168,8,4,21,23,12,3,1,17,21,37,25,6,54,14,15,15,4,13,16,1,2,28,13,8,0,11,3,10,14,399
169,10,5,3,10,20,14,3,13,10,61,18,11,2,24,23,18,8,0,1,3,9,21,0,10,47,27,3,15,28,417
170,287,70,5,0,27,92,8,15,6,19,102,20,5,10,26,1,20,80,94,39,14,0,22,18,34,20,20,10,27,1091
171,37,23,55,21,46,23,28,43,46,37,56,20,43,38,48,0,26,17,51,27,2,25,0,13,31,31,3,20,39,849
172,2,14,34,0,66,14,4,2,12,30,15,41,0,14,20,0,8,2,2,0,2,14,52,14,19,10,18,26,33,468
173,18,31,6,12,17,15,17,8,22,41,13,6,10,0,6,4,10,21,10,13,16,12,30,0,0,20,4,29,72,463
174,3,10,22,14,14,6,10,15,10,3,0,10,0,5,1,4,0,13,0,13,11,0,0,40,2,16,9,39,27,297
175,0,14,17,21,14,11,1,43,0,12,0,11,13,0,4,0,17,13,22,1,8,42,0,5,61,2,55,18,6,411
176,46,64,12,16,16,23,0,92,63,58,114,133,20,25,66,33,43,53,2,118,116,57,180,69,306,49,40,27,250,2091
177,10,12,13,7,19,22,68,6,16,0,54,10,9,13,24,16,5,25,15,0,0,19,0,0,7,45,29,5,10,459
178,2,4,6,25,26,48,29,68,0,16,74,7,0,5,5,22,43,20,6,25,10,1,0,11,21,34,0,22,10,540
179,30,0,201,14,19,90,51,36,25,29,99,32,11,30,3,3,18,10,25,0,52,10,20,20,0,33,18,14,51,944
180,19,20,20,9,23,69,22,59,7,32,33,10,26,0,26,36,0,0,10,2,117,25,20,11,5,2,19,109,10,741
181,57,12,12,37,35,107,83,42,12,10,24,17,4,14,16,4,0,3,3,7,3,38,3,48,95,3,8,43,33,773
182,0,36,23,31,35,60,16,0,21,0,18,4,17,0,0,10,0,19,11,9,0,19,3,26,2,20,58,41,10,489
183,18,28,30,41,11,11,0,1,8,5,91,2,3,9,10,11,2,7,21,1,3,16,10,133,20,14,79,14,20,619
184,20,26,10,0,20,19,10,10,18,91,0,25,12,18,8,39,0,10,19,24,0,3,12,12,47,24,36,12,4,529
185,20,0,0,1,11,37,14,0,10,5,9,21,10,13,35,4,13,6,0,13,36,35,0,13,13,25,8,10,34,396
186,1,21,1,10,20,7,22,0,0,15,10,42,0,0,10,17,4,0,54,5,5,14,6,4,14,45,16,8,14,365
187,1,10,10,10,11,9,12,6,6,5,13,0,19,16,0,19,52,0,8,0,5,4,0,5,4,22,23,5,14,289
188,0,11,3,14,15,5,11,10,14,25,6,22,6,10,22,14,18,4,10,0,0,18,22,15,4,0,13,3,3,298
189,315,58,30,2,0,102,11,19,2,2,64,0,40,20,2,5,75,0,85,8,0,0,77,15,30,10,11,43,0,1026
190,27,213,111,64,72,41,59,44,66,36,128,10,25,41,47,23,25,68,49,41,25,49,0,45,49,28,2,46,59,1493
191,11,42,0,0,0,6,0,11,4,102,11,9,21,0,10,4,30,20,2,13,21,3,62,14,24,20,94,27,23,584
