node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,total
360,32000,413000,29000,27000,126000,29000,79000,60000,100000,26000,28000,45000,81000,56000,25000,35000,26000,30000,82000,40000,76000,98000,73000,29000,45000,1690000
361,28000,85000,73000,54000,26000,28000,39000,36000,38000,25000,41000,26000,31000,52000,29000,27000,59000,63000,27000,53000,45000,53000,27000,44000,44000,1053000
362,28000,133000,103000,105000,25000,65000,26000,29000,76000,30000,27000,36000,29000,46000,39000,33000,26000,29000,79000,33000,64000,33000,71000,36000,58000,1259000
363,247000,26000,32000,272000,29000,27000,60000,29000,75000,67000,60000,26000,28000,43000,34000,31000,25000,27000,38000,89000,64000,31000,44000,71000,63000,1538000
364,27000,77000,28000,47000,42000,34000,26000,29000,35000,35000,35000,25000,37000,26000,29000,46000,30000,27000,54000,50000,42000,45000,50000,39000,42000,957000
365,145000,26000,27000,75000,62000,59000,25000,52000,26000,31000,63000,30000,27000,39000,27000,62000,49000,34000,69000,56000,54000,27000,46000,28000,57000,1196000
366,209000,25000,147000,27000,33000,151000,29000,27000,62000,28000,56000,82000,58000,26000,27000,48000,44000,52000,71000,31000,74000,39000,26000,37000,71000,1480000
367,472000,29000,27000,140000,27000,91000,117000,92000,26000,27000,44000,69000,47000,25000,33000,26000,30000,26000,92000,31000,45000,28000,71000,36000,67000,1718000
368,123000,93000,71000,26000,28000,41000,47000,41000,25000,41000,27000,30000,53000,29000,27000,49000,28000,26000,63000,29000,53000,45000,51000,26000,39000,1111000
369,175000,140000,121000,25000,77000,26000,31000,81000,29000,27000,92000,28000,42000,40000,64000,26000,28000,27000,31000,73000,34000,61000,27000,73000,33000,1411000
370,26000,32000,346000,29000,27000,72000,28000,77000,56000,52000,26000,28000,43000,37000,53000,25000,37000,33000,54000,97000,58000,26000,37000,89000,64000,1452000
371,97000,29000,61000,52000,41000,26000,28000,36000,36000,37000,25000,37000,26000,29000,48000,29000,27000,26000,50000,46000,44000,26000,47000,48000,50000,1001000
372,26000,28000,101000,77000,68000,25000,53000,26000,29000,80000,30000,27000,37000,27000,47000,45000,34000,30000,61000,30000,70000,29000,60000,62000,70000,1172000
