node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,dir_29,dir_30,dir_31,dir_32,dir_33,dir_34,total
370,81944,68617,37641,71882,73948,79989,83558,84264,73626,81203,86123,81822,108738,93058,84031,79935,95767,88743,83324,79767,74762,80056,71128,73139,79395,73243,65780,69696,71434,61498,64732,62037,62878,61188,61500,2650446
371,79512,83318,63469,36473,70058,80460,85301,83632,90971,73467,76998,83737,94405,103280,79545,90226,99577,80967,80703,69757,78106,71679,62083,75506,71177,85168,71220,73106,65774,66621,69513,69935,62617,77351,63286,2668998
372,83509,83304,82722,66576,31590,69956,85661,87888,87244,83766,74648,74097,90645,90532,90062,98927,85938,91035,84284,74968,85174,82792,74518,76264,72694,72454,75925,70593,72254,59094,73308,69435,65886,64431,59402,2691576
373,82232,85105,83666,82409,63970,34584,72553,78952,83059,81909,73465,73977,88801,94127,83483,86743,77791,81443,93396,82316,70544,73965,72215,73578,72859,68888,75810,72793,68221,59018,73072,65247,63418,69194,65469,2628272
374,82749,85211,83199,82068,82354,60541,33921,70514,77284,82074,78674,73659,99165,89311,91107,87573,87595,89086,99716,81666,82416,75840,76510,82354,74966,68044,80897,71216,70945,61164,71026,66391,62624,62147,66269,2690276
375,73550,81023,78424,79414,77398,62090,29177,64573,71698,71656,66992,68631,102953,93227,92359,97679,89418,95177,90687,87364,86714,81757,80972,76984,80740,78741,82301,71710,74056,70141,78582,67803,71233,76493,72351,2724068
376,75011,80633,82445,77952,78077,66842,30919,63423,73232,75461,79406,69555,87008,89207,93724,91413,88550,83959,78988,81420,79766,86297,71752,84273,68696,74781,78233,84352,68447,68036,66618,64031,72891,79511,60077,2654986
377,70253,74348,77293,75948,79907,59035,28479,60837,65744,69821,67617,66301,90117,98845,86269,87460,91886,95088,82588,78825,83539,80349,78239,78978,78194,76042,83532,68376,65208,71686,70595,69270,72421,73742,64528,2621360
378,64053,74801,76422,77372,78282,58261,29686,60051,66210,67408,67161,70073,87301,100580,85674,91617,97661,96773,82057,84465,84810,76098,78766,74586,84899,71194,74682,70563,67897,70515,74758,69481,73388,70732,60934,2619211
379,69719,83664,80858,82180,81531,65661,33407,65013,74835,77595,70595,72970,96706,85797,105074,89491,97928,92602,80575,80890,80691,76965,82895,78941,74979,75661,71415,71293,57435,64124,66412,58430,63560,62120,60644,2632656
380,59184,71883,65335,68232,71722,56497,27367,56480,68471,66071,69279,69730,96303,78964,94321,84451,90189,90978,78878,85690,88114,76388,90085,69304,71937,77103,71863,73989,65180,66124,66373,64824,76399,66495,67051,2541254
381,64256,75183,75627,76626,76785,62643,33772,63016,74184,78350,71100,73697,92880,84747,88697,88437,94579,111783,87129,88720,79747,73568,86692,74363,64814,71929,68916,66490,69604,67166,63329,70031,65203,70267,71026,2625356
382,62833,72352,72205,74706,74017,56537,28791,58921,72420,76661,74632,71655,94474,85402,86391,87978,94178,96988,89208,79945,85708,81558,85378,80644,81662,78485,74473,63847,73032,63136,65980,65569,71820,69380,67096,2618062
383,65515,72076,71597,71148,72507,58886,28736,61747,68784,76843,71704,75293,98431,90101,88199,92000,89976,82454,77569,80979,95024,76198,73564,74638,80953,79625,70491,67828,79958,72456,73146,68692,74688,66267,64993,2613066
384,64871,71588,72816,73087,76145,63545,32367,61689,71481,75502,79400,74374,96407,93136,89761,95046,92226,91230,88027,89119,81224,70781,83178,75182,74593,84630,68749,75609,64117,73045,67250,71294,68142,64558,70138,2644307
385,72524,72125,77679,73142,75792,77005,56373,34116,66297,75962,78888,75743,98683,86814,84285,83215,88078,85667,87327,80916,86983,76263,77320,87797,71668,81826,73908,76962,69688,73522,72414,73361,67737,63569,66507,2650156
386,75878,85472,65663,74640,77070,78985,82455,64813,35921,67317,76272,78936,95101,98431,93472,85009,91313,87392,83442,91796,82659,81295,77006,76559,76230,79419,66159,75367,65355,65978,65667,65639,63487,68097,67473,2665768
387,67282,78753,84526,69108,74314,78661,80581,83545,59548,40688,60656,74236,91322,93327,86570,88058,86738,82569,89966,92029,82579,84656,81906,82727,78714,83033,78932,71448,83858,67191,69987,76798,72181,63840,69941,2710268
388,67127,69446,77309,87925,68573,74400,77277,85164,80707,57264,35208,61230,87047,87023,85487,89961,104512,83953,92229,83740,82710,84663,90492,72602,75012,83630,79416,66805,75801,73464,69247,71651,68279,55394,66680,2671428
389,69835,78185,78640,83413,85214,61487,75460,78312,78271,79070,55637,32961,88593,90215,85779,93409,87791,82688,93482,97965,85044,83557,78898,81881,76157,82638,77670,81965,66688,70719,67990,76384,78758,64633,75162,2724551
390,64009,71384,78043,80508,87280,85660,68330,74783,77117,76348,80758,57393,81526,94640,89105,97370,82534,90806,81366,104481,83999,83695,80959,72023,71735,79895,76134,72984,69491,72309,72084,80086,65842,66095,76856,2747628
391,43644,71615,78865,77721,84430,91455,71767,76510,76957,78282,83061,49783,104678,86224,103029,86261,98096,91946,78142,82242,85230,75797,76242,71804,63248,73673,74168,59142,59581,56250,64536,60062,63629,60624,57334,2616028
392,55616,40834,69551,80680,79082,84533,85392,72039,80253,81312,83538,89906,109381,92551,87094,81046,93422,101895,78050,72258,76204,74920,72709,68769,66628,69959,63437,65173,61173,69493,65616,67726,59619,64223,52823,2616905
393,77507,55964,41726,73974,81844,86206,87426,97273,73552,83117,84103,85686,107991,94351,82974,78915,84441,93976,76826,81702,70932,79584,69255,69403,65004,64410,72841,66362,65454,71943,62015,64210,65282,63873,58142,2638264
394,68170,72537,57749,35127,60813,67928,71652,72687,76871,65344,70511,73568,104155,82437,94840,89803,86823,83779,77759,83384,91187,74011,81170,76410,76728,78379,77652,67833,71774,70756,72878,68424,64768,77011,64333,2609251
395,66831,72468,69878,54409,30453,58535,67708,72920,76216,73393,62965,68241,102607,91005,87010,91563,83225,90408,93303,85182,79514,80402,86081,82009,71368,79373,76578,65884,73794,66289,66227,67110,68836,70847,65824,2598456
396,72689,79197,81141,78803,62652,33236,64511,73225,77000,72813,73517,73945,96252,88813,91714,83048,83048,88843,88174,80562,77720,87633,84026,81553,79539,79254,73960,75766,72019,73844,72198,64518,64925,71640,59533,2661311
397,81470,88171,88853,86992,86894,65724,36157,69342,78249,81376,80866,78187,100425,85538,91208,89111,87877,82968,78075,88996,74557,82090,72606,70749,67732,74654,64956,67308,58601,66226,74350,67165,63723,72437,59045,2662678
398,78720,84081,86081,81739,81589,62292,31505,66273,75449,79303,81034,76423,96073,87509,89530,101733,82992,83486,78891,84253,72998,79688,74276,63164,69390,77591,75001,71296,70641,73341,68276,59106,65184,67064,56850,2632822
399,66763,74829,75081,74540,74186,58354,27798,57530,71556,70538,65866,66140,97871,89893,86772,91948,92154,97283,86993,81321,81670,83992,84464,70536,76678,88576,80194,72725,69724,68106,67941,67214,75132,69829,61807,2626004
400,64300,72077,78237,73229,71165,58337,32393,65089,75457,75726,71112,66998,93010,91214,84950,92730,84767,94627,87728,82160,90436,77765,77024,70110,75809,76807,77071,68392,81568,70889,74529,69924,70962,70747,63205,2630544
401,63619,73317,70503,71445,72676,57598,27349,57455,71465,68979,67811,63915,89892,93808,85651,91644,93113,85576,84487,74650,88775,77086,78293,74399,80106,86882,68768,75333,76254,68586,75193,65041,71536,68519,66544,2586268
402,57761,66710,69908,71873,72740,57959,31084,62179,74527,76820,69477,63254,79871,87446,92806,85545,91916,88903,90440,81512,84417,74128,83978,76583,82882,76103,68620,68716,62573,66127,73109,69114,64877,71097,69071,2564126
403,66417,73099,72802,80233,80165,57162,32245,64290,75209,69660,74431,68700,90530,82303,82514,91413,84302,93975,93629,77110,83215,84350,74799,66582,77633,69292,67739,69993,69878,73166,65887,62450,66461,67944,67953,2577531
404,67844,70917,74113,77547,84120,61424,32271,68960,75316,78358,71809,69542,89301,88176,103642,84677,90269,88157,79655,79007,73908,77428,71153,74684,73079,73778,74186,67163,69035,66953,61953,66578,61806,57975,64874,2569658
405,64728,68193,68631,74578,68865,54563,32125,57140,70753,66792,71555,69658,93959,81305,93544,86552,95839,87189,81167,73704,83908,82469,73147,75516,73642,73956,70664,71046,73838,67444,68400,66406,73884,61983,63931,2541074
406,61432,67512,69733,71688,71413,56490,34137,59631,64054,72193,70206,68194,90298,87565,94618,87939,105928,91144,85967,85625,84416,80256,76358,76422,71626,78161,69529,67114,69064,72007,69891,75524,66827,65836,61636,2580434
407,62192,70982,70541,73201,73700,59158,28300,61907,68989,73641,74246,76736,97803,85786,80791,93268,93658,92665,83494,78752,83795,74499,77077,83405,75761,81222,76700,73110,81734,64941,70127,65156,69615,68019,61625,2606596
408,68247,60461,70540,72979,75822,75527,54795,34979,60759,70957,79138,79682,92041,82250,84121,89061,93012,90958,79580,84759,82216,86361,80343,76890,68378,69273,73160,73950,74142,66667,61340,74629,66191,62013,61294,2576515
409,69822,77146,68296,70901,76846,77811,82019,54670,36326,57592,67300,74060,85904,90145,89177,91914,88696,100698,79758,81672,92095,75181,70541,77190,73959,73366,78281,77616,65501,64566,71871,68060,67169,67398,63454,2607001
410,71989,79013,81534,62223,75611,79766,76576,82673,56470,35817,63221,67528,91159,93645,77033,84338,93647,97842,81979,88490,77457,78944,72816,80246,70224,76570,76624,75601,68858,69314,62414,74625,71256,63425,72327,2631255
411,65195,74594,76013,80022,66184,69381,77899,72957,72686,53957,28469,54550,88287,93676,89166,92573,93081,90391,83629,84318,83217,80422,84407,80716,83559,78007,77667,76499,78941,63042,80276,70411,64690,68578,68060,2645520
412,61705,73136,71365,76595,82489,65458,73501,75281,70260,69550,55319,32809,86278,90164,87197,88908,93392,84804,83812,85360,87144,73079,73593,83794,71296,77587,81959,74620,74797,67712,83115,83144,70074,70359,72066,2651722
413,53881,68320,75512,74772,77310,87218,67132,72756,74834,73942,74708,59136,81598,84866,91263,88857,87706,80678,88510,87725,83629,73284,84373,70388,78787,72840,82079,74191,73039,73178,74545,74224,70290,63150,70915,2669636
414,38217,59334,69994,69287,68944,76094,65875,68647,73688,72906,69062,45201,114017,92753,91349,92027,99246,99391,86695,87635,80899,81277,80980,75485,74804,74477,76698,73428,67463,66548,75055,66987,67040,67442,57940,2626885
415,56011,42664,70003,74817,76753,78340,82921,69035,79726,80821,81201,84843,112445,82075,104902,78848,85473,79964,87207,73217,79867,70464,68409,68981,73376,69068,74164,63840,65944,64301,61565,61569,58331,58516,55977,2575638
416,69745,61390,40822,73591,76180,77955,79923,82612,74440,80864,78183,81015,98204,98535,94760,84730,84486,77159,82962,76809,74251,90440,63570,69607,66264,62389,64583,64197,66488,60445,58896,59170,64295,57527,56774,2553261
417,72362,76241,63743,34928,66380,74670,70233,82790,80183,72272,79045,76286,95747,84479,90758,87145,84705,81555,91654,79098,79738,83989,77152,77616,70881,72267,67087,74147,72848,62990,66541,62018,67846,67835,62412,2609641
418,71127,72864,77077,60778,37730,65609,74540,76008,83509,61240,68166,77564,99130,98434,90926,85224,102098,72493,80562,81015,79115,74049,75071,69305,75190,63807,69439,66377,64347,69897,60764,67060,62671,70551,65989,2569726
