node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,total
64,25642,69360,69813,17600,49690,58066,34689,70368,57739,13401,64937,10551,29861,34432,52895,30000,20106,34828,34267,778245
65,99302,80666,93372,70708,99102,78516,20000,91277,3958,42617,52183,62395,13376,26658,49932,51961,40578,54793,51738,1083132
66,48016,28172,50567,26725,10000,44161,58834,33319,40972,53760,39953,25786,35929,25611,6689,55161,58488,33959,15046,691148
67,20339,123758,64791,60077,100131,61310,10000,8321,37553,20000,17966,41761,3001,40764,38734,32312,54289,28242,58631,821980
68,119746,107666,72013,58089,108609,79289,23354,11989,38385,34118,18591,80661,37490,57887,16979,43538,11546,23372,31058,974380
69,61273,52502,12712,52742,38665,14000,31782,50461,36524,30203,31917,8773,47753,0,7160,28358,20239,85531,33555,644150
70,49317,78740,47841,53705,36995,31369,44875,81501,40000,26748,29994,36337,37183,11154,75634,71979,29487,12137,29667,824663
71,110104,25101,53298,62196,43353,39868,29319,5845,3894,47859,90787,53958,42236,34298,26919,34392,20000,53939,20075,797441
72,66850,22509,86510,38890,55414,108032,16450,124567,55626,23089,40000,20004,14846,13268,96187,20194,40189,50332,69517,962474
73,41568,56398,49894,38035,30913,49173,26000,14986,3,21266,33298,67055,54194,68662,38798,13357,68216,29297,8337,709450
74,25632,17908,22987,18170,35646,24245,13327,32135,79548,24772,16510,18117,7559,24657,13096,22858,25603,9115,34325,466210
75,49278,26132,30723,76580,9346,91892,38312,63758,10000,63826,26751,30288,80512,47631,23901,29817,66800,35333,51238,852118
76,55839,51916,37445,30647,46399,75319,28403,92682,41403,12173,60019,76289,42603,13375,59843,64257,30000,31455,41791,891858
77,29221,43040,65246,44524,33409,35796,72856,92301,22372,58234,52934,20006,50245,23048,55727,33224,12408,67870,16736,829197
78,80100,142937,95222,44452,105925,26034,40000,34050,20000,34587,6896,28572,26609,43318,94856,29932,13404,40295,35365,942554
79,117806,108774,79211,63315,27415,122162,33221,65875,28222,32346,48455,15084,20000,15001,34466,54775,39884,20000,42823,968835
80,38290,65753,68461,66397,54629,31754,10000,30003,36655,60846,41708,66342,57731,75054,38492,24438,19444,112115,49204,947316
81,88416,20847,31565,38285,40642,17697,30835,11679,65705,28048,46165,66072,41528,33766,58266,37549,10000,37990,55626,760681
82,101456,17668,17324,58019,95388,170051,10000,74667,23907,56401,50603,50000,21146,42067,51912,20006,40356,58864,32984,992819
83,18094,32344,42701,19978,50415,15317,12578,35636,54823,32024,24029,41714,48553,45101,29252,24815,40652,27512,19053,614591
84,75312,28192,54665,90798,45972,42250,24519,61862,40203,10000,2048,23803,27168,10326,48231,55535,33117,62136,50812,786949
85,64684,19055,23756,55388,15760,36115,79661,13321,44009,23981,31682,22060,41068,24800,45114,69254,88430,16122,28307,742567
86,51979,46173,61392,20483,64660,21666,17019,69355,12669,18571,63966,45624,60000,102327,54590,52714,0,36704,35336,835228
87,24992,29488,24842,16708,72034,41422,27823,53162,42999,51167,33469,19925,89458,40003,21145,36499,22229,64148,32097,743610
88,43675,9968,36189,56370,27297,52002,35785,14525,23028,23380,32934,22856,13758,71732,63468,41516,59288,34353,9996,672120
89,26357,25784,27401,24067,58895,33901,12673,109356,42158,53556,20000,32970,46319,20000,24405,10543,23326,69957,9326,670994
90,68007,86874,285,71950,21048,34959,56533,97970,20000,39164,47186,24166,31138,24692,10000,25368,67130,59860,47921,834251
91,88107,68842,23535,71473,66246,152453,20000,27822,44021,20534,39354,53456,46573,18114,8694,20006,0,54626,20817,844673
92,116824,50120,52556,81206,23101,81290,43378,55284,10000,21765,74050,45518,10966,39190,37570,23684,31874,36641,26998,862015
93,59261,105822,75753,68861,49011,79948,10000,50029,14448,16714,20000,52998,54084,50498,20986,13436,35800,58413,40930,876992
94,50266,76394,75205,72792,80350,13370,4435,34216,33557,24866,13313,48667,13490,47997,36612,95960,76514,73465,52140,923609
95,26036,57420,47463,55523,60844,70740,30000,42672,27376,31571,11886,19608,64025,73620,30570,53328,43007,57206,11703,814598
96,63949,64421,51972,29325,57929,116154,20000,78664,33317,29994,30614,59793,67960,30009,85687,26256,60000,67156,33177,1006377
97,41818,26337,35822,36826,38988,21850,38087,36172,70254,59033,51947,20210,6237,46624,21058,22596,17363,19076,32303,642601
98,20524,46219,20645,47985,43334,58709,14,90639,48140,24676,52629,34997,32905,32407,56691,46582,16824,23112,19688,716720
99,51672,50864,108843,66984,23011,22075,39001,38776,36264,63312,22864,65883,34239,26672,38934,55512,35196,27196,62662,869960
100,38711,36572,36047,39927,27923,40110,30640,78257,6795,24888,30425,20000,45150,74346,16341,37053,60403,65093,10006,718687
101,32892,8088,44552,33362,26443,60188,23301,13400,8744,37723,29548,3465,27513,14237,92073,61323,54130,42844,48991,662817
102,44877,42411,29195,38581,68065,26708,52203,35169,23058,24026,29578,42736,20207,66193,38612,26762,70358,44104,54926,777769
103,47970,57617,25691,10027,54508,42370,25157,52865,30009,66415,30645,50028,0,46031,14433,33240,27246,20228,6776,641256
104,85455,121823,88569,81349,112224,68321,30000,39900,55690,34520,30005,22335,25977,36713,32977,77308,29500,78378,30487,1081531
105,107231,82523,75805,70636,101146,100356,62965,103085,19882,28217,18369,0,48948,50321,10437,28119,59359,46740,24927,1039066
106,65995,67254,40783,49953,42205,28082,30006,87555,37878,12993,30006,42579,20195,23600,39450,33388,21976,39731,43744,757373
107,43864,104774,31053,57365,52646,50621,30000,62890,30000,18157,33067,27489,28922,64878,17796,40639,21668,76541,30000,822370
108,95750,98887,60826,18448,33861,61323,0,15211,27731,51949,30000,27855,44496,25071,58863,51329,23898,52108,29860,807466
109,27882,71758,32259,74327,15928,16362,22147,24736,55156,20000,85943,12258,60000,39858,47679,22493,0,44473,16752,690011
110,77438,71908,56990,47216,68087,73853,62417,43949,37660,40326,20000,32562,49697,30346,11706,69015,104622,42242,77283,1017317
111,39991,35175,42952,38013,45725,40268,15479,39347,41832,24568,39751,28202,10000,10073,51706,11859,48525,6301,56627,626394
112,53783,52805,41303,23332,37561,28449,54533,49688,37011,438,40617,65461,103608,35937,43597,23517,44886,13427,11538,761491
113,45859,44707,57417,31804,25718,19949,32725,18414,41993,37317,22343,22873,19544,79465,58355,44378,84769,45385,56096,789111
114,47157,46601,55034,62375,25964,37495,3431,81800,48728,61926,39018,48874,47164,56999,16360,60898,40000,10000,63683,853507
115,22291,22558,8683,24179,28864,16637,42768,19017,10000,10000,13301,19670,51806,85606,70197,42321,59964,68446,48234,664542
116,36452,22249,24059,20373,3271,16750,41907,21196,20000,31864,58774,30000,14157,40000,53547,57944,33233,25245,59228,610249
117,103399,86173,101355,87809,70133,75036,50000,31465,23447,18014,40859,52808,50000,35699,34944,46551,29629,61114,59043,1057478
118,55708,47170,70109,114178,30732,53559,75380,72951,12,11534,20721,16869,31338,14436,76188,6730,31796,74983,18213,822607
