node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,total
77,22716,39106,45810,34649,43216,28348,49155,49214,40653,43409,37841,39222,32239,29026,31827,32959,31980,631370
78,30219,22685,40368,43337,33273,38703,50446,45725,44091,47772,31441,34550,32222,33305,30374,34944,32092,625547
79,42554,33905,14236,40217,46054,38576,56242,46595,42915,38283,43619,39813,36503,34133,34369,27875,31927,647816
80,37925,42303,35342,17621,34704,40619,55542,47199,42515,39674,40239,36939,33512,37649,35338,33933,34827,645881
81,34193,40054,32311,16387,34855,44149,52914,42766,41583,36495,40356,35014,35221,37094,32714,36990,34124,627220
82,37135,47831,36521,21871,39343,37131,54000,44254,52654,34348,34136,36137,39540,33681,33092,31715,32546,645935
83,31553,36925,29541,16705,39387,38182,48563,51334,42495,39936,40700,36694,29641,35474,34543,30855,35854,618382
84,33671,40110,33526,18427,37315,44381,51673,45370,48418,42568,40486,32553,35940,35312,33233,34010,33905,640898
85,33814,39974,42574,30169,16740,29355,47180,50567,41551,38164,42829,38440,36198,31703,36438,35088,29790,620574
86,37986,43994,41210,48542,32592,18390,48156,48739,40628,44733,38968,35548,40106,35444,35181,28741,36022,654980
87,28102,39542,47090,39808,46103,30184,44959,48495,48864,43151,38599,40277,35682,32358,33600,34916,33454,665184
88,20924,36189,44580,36716,44171,27574,45154,46689,40587,42742,40766,32543,33347,33519,33840,28070,32778,620189
89,27827,22699,33023,35776,41822,39836,46882,45669,40464,35741,41566,35094,30068,28585,32675,34373,27691,599791
90,38090,32384,19821,38529,40172,35458,52517,43064,37880,31889,38335,37372,34304,28656,35092,27277,32065,602905
91,37375,39749,30694,16834,37031,42150,56583,46530,39436,41042,38374,30118,32736,33284,31618,34196,34483,622233
92,37879,40565,30410,18713,36050,40878,50365,41770,41796,43938,38305,36700,34026,27146,28448,34224,31996,613209
93,34685,42168,33789,15730,38204,41867,49012,38957,43892,46027,34863,39770,35710,36906,35341,28974,31726,627621
94,35225,41308,34633,18731,34111,40158,53028,42553,40701,33924,37514,39057,38924,35376,31484,29881,30036,616644
95,36232,43014,33960,17526,39634,43124,50670,35238,51592,39353,41345,38141,35149,32852,30071,31680,28806,628387
96,34984,37023,40020,31049,14411,33865,46496,45860,45058,44864,39131,38558,31335,35820,35255,32644,28259,614632
97,30290,34258,31944,42732,27872,18001,48477,39992,45394,35941,37711,40341,38484,37119,34633,31340,34819,609348
98,27340,33489,35972,33014,40367,27801,43336,47617,38613,42343,38153,36013,36685,35363,34200,30329,32016,612651
99,22142,34687,39514,26829,32521,22659,44137,49371,43432,38317,37132,37685,30473,26637,33562,27214,30786,577098
100,25589,20248,37137,40818,30447,35261,42113,45698,41507,39458,32979,33351,30300,29543,30406,28341,31996,575192
101,32946,28380,17801,33998,35054,31136,52633,37257,42309,39654,30966,35200,31796,25518,35968,30186,29868,570670
102,35004,36742,31322,16748,33184,32964,42901,38829,48355,39896,30268,37664,33406,30338,33405,33458,31677,586161
103,35717,38317,31204,18110,31288,30957,51890,46370,40519,40422,37620,32948,34741,27920,31255,30201,28404,587883
104,32995,37578,30252,15969,33976,35576,48824,50071,43315,34777,35523,37610,32065,34888,35247,29158,33028,600852
105,29305,35657,31836,18009,35202,40130,50022,41956,41166,45998,41435,38157,38526,29233,28208,28446,30754,604040
106,34541,34532,30889,21288,32059,36545,42370,37821,39368,48112,32620,36947,28081,31797,31989,28913,31340,579212
107,33526,34850,36427,27828,14563,33700,42189,48233,42787,42493,36348,43930,35286,27818,31038,32834,31409,595259
108,32674,41043,35627,41379,30587,14736,47780,42758,48869,41308,36914,34697,32725,33612,32265,26204,28766,601944
109,34457,37632,41607,35578,34823,27939,43350,40292,45359,40506,36474,34423,34186,32275,35569,26263,29182,609915
110,21756,29793,35399,28422,34512,20255,49884,49875,43496,36578,34459,34868,28114,33424,32741,31022,27706,572304
111,24640,21162,36726,45924,33048,38364,50333,44150,35660,36433,31659,27335,26009,29456,29687,29456,26010,566052
112,34162,29621,16972,38441,46009,35145,54391,38752,40430,34964,33976,29816,36572,28287,29372,27811,25866,580587
113,37276,36374,32631,15723,37291,38705,48488,44622,40886,37259,28417,35259,28054,26968,30549,26396,32634,577532
114,33868,35673,26747,20411,32432,39623,51130,39483,44530,42057,33770,34501,31548,26488,29846,28702,28812,579621
115,35546,38811,34407,18167,36162,36698,48513,39192,44976,38874,38361,34316,34333,32889,30012,32165,31578,605000
116,31881,37912,30776,16175,31582,40896,51198,46769,41198,39428,34933,37262,31052,31687,28105,32187,28073,591114
117,28390,35407,26394,18803,33627,42022,49322,39881,44663,40878,31219,36203,36204,31751,32678,26885,28955,583282
118,29746,28487,38751,27932,13149,33558,45663,41716,48980,44329,36427,36862,32638,29120,32190,27271,22595,569414
119,30218,34565,31392,39793,28409,14681,43530,42510,42898,45506,34094,29007,26956,29646,27010,30413,28928,559556
120,27543,29401,35128,34475,33880,28956,42584,39462,36548,49239,31634,35195,29453,29784,30081,31837,30296,575496
121,39004,58070,51179,50958,46899,49432,47109,45996,50818,40702,40421,45410,45773,45063,40018,26647,39223,762722
122,58188,61562,48694,48855,49445,52735,51548,43696,43967,38253,44258,21898,61452,48450,55709,39794,46308,814812
123,82172,65253,52240,50638,49516,49242,50457,49634,44322,42076,43061,24446,62914,58800,47711,48855,52000,873337
124,55453,56834,60957,47860,51730,52296,50620,45776,47817,48956,48361,28260,51643,43981,43391,45551,50140,829626
125,91311,69652,61232,51427,45353,46052,46695,43610,46672,41177,44979,31591,26588,48393,43386,46243,45825,830186
126,59806,63678,51379,56808,56464,54297,52494,51461,48200,46723,45594,35304,36639,29348,55182,43078,44953,831408
127,79486,76703,66017,52960,52101,61264,55623,51763,46095,47710,43562,35465,34043,35477,27268,44001,48559,858097
128,73749,73487,66407,64092,53406,45732,54290,47996,41784,39482,48170,34906,35079,32534,29943,24041,36501,801599
129,72047,68273,74718,63294,69228,49188,54623,45094,46907,41584,36598,40109,33726,31346,26775,22086,37787,813383
130,75342,75072,70294,71118,58781,61241,50443,46348,42526,45533,42262,48985,33886,31480,28314,20713,37886,840224
131,77831,79100,64480,67037,59970,64817,62128,60334,48943,53688,46446,20804,45388,37890,32726,26583,18559,866724
132,41090,46624,44488,48052,53521,47947,49780,45408,46353,46321,45833,43428,46671,50436,35434,37167,20693,749246
133,61162,48694,54002,52995,46769,43688,48864,44890,46124,44507,34444,22759,46694,46269,35763,35064,35521,748209
134,83840,64941,55198,55595,46417,45802,55552,49707,43624,43230,37571,23037,45032,43705,44872,45049,39250,822422
135,48342,62424,60837,59320,43133,51127,54697,53064,42908,39479,38365,28311,37395,39427,44367,36288,37442,776926
136,67864,68110,63128,52864,50051,47359,49028,40873,37869,36212,34610,28534,26475,36283,50342,42815,43020,775437
137,59742,58179,69317,59467,55491,55096,48374,44287,37765,43164,34969,33244,30765,25366,39217,43694,35925,774062
138,62376,71256,69555,54252,52100,51641,46504,49168,42445,40024,43813,32816,32935,27938,25086,37111,36496,775516
139,60606,75846,65770,55061,60417,46191,44345,43787,42443,48010,45226,41214,41267,35529,25914,19345,39231,790202
140,68781,66685,63972,53691,56232,52152,52222,48655,45630,50124,40615,42840,38654,32591,29853,18196,33424,794317
141,48326,56207,60589,58511,59373,53165,53683,44833,44901,43282,40475,44119,39420,35194,30017,20065,32286,764446
142,56686,67215,65205,61964,57187,47772,43908,46809,39424,38034,36579,34098,40383,35664,31068,30323,19206,751525
143,34616,36660,53978,50668,45844,47846,37614,46337,40859,43440,41876,44444,48976,37263,38571,35075,23754,707821
144,70091,55064,57166,48371,48571,45551,37584,45061,42773,44074,42653,21811,44448,44188,43056,46140,45200,781802
145,81029,77057,65702,58420,49407,40438,42286,48181,52077,45660,38679,27282,37666,39884,45965,39407,43896,833036
146,47779,68153,59530,60969,48354,42777,43521,44573,43500,46544,35558,28110,30844,35044,32962,32797,39732,740747
147,67470,68450,55476,47581,41555,43779,39555,42001,43402,37812,39122,28349,23431,40331,45009,43707,40066,747096
148,46877,65980,53239,54785,51975,42842,46170,48459,48561,40985,41789,29417,34699,25990,30958,30373,32523,725622
149,49831,64931,55248,55926,43286,45210,55413,54009,48277,41443,40433,32244,39247,34518,20054,30950,32905,743925
150,60001,67210,53785,55486,45717,46975,50403,52383,43332,38836,44168,38032,43631,35756,29883,22698,31431,759727
151,58829,50802,58060,51714,48302,54407,49878,45339,45478,44259,45368,43016,40016,33948,31996,20842,33611,755865
152,57601,75130,62603,48182,58066,51205,49449,43052,43976,43132,42789,47133,32601,32015,28608,17436,35483,768461
153,53308,59634,70653,61485,52336,57971,53888,45431,41646,41514,42662,25418,37691,36278,31785,27420,25083,764203
154,42881,48442,46464,42366,35705,42672,43686,48223,39846,44222,40033,36040,36780,31220,28674,34014,26957,668225
155,65181,60985,54943,42854,43622,46781,42094,38536,45070,41344,41633,18978,46188,34051,37159,37774,38873,736066
156,83182,67096,55987,50029,49043,49564,50204,44911,42048,40238,38827,25453,40257,40020,48950,45613,37606,809028
157,50168,50749,51857,47153,50637,47257,48849,41228,43048,44438,40141,28965,36438,38879,34525,31578,38165,724075
158,67040,52027,41789,44172,47322,41420,41869,45291,43645,43170,33457,32815,27574,40333,39282,35807,38585,715598
159,40048,51946,48456,45939,44533,45665,41490,44923,42397,48915,39743,26125,33666,24571,37452,30126,36938,682933
160,48583,59309,43002,42272,43689,47642,36333,42635,40736,40105,42887,29299,38265,34571,20495,30787,35601,676211
161,67451,53426,56012,48336,40665,49669,45723,40050,40154,37675,37109,37378,37911,38937,31481,21700,37912,721589
162,56021,67656,60997,54738,51705,48841,39238,44610,44154,38574,43814,41784,40351,30443,32614,24831,30347,750718
163,45571,49149,59376,54459,44916,42142,40737,37463,40519,35085,43682,41262,34439,33728,23335,20981,37535,684379
164,44559,55213,52141,57956,58078,50305,43065,49099,42619,39377,40588,25391,41310,40848,36542,29549,20967,727607
165,48698,58345,48751,40976,42546,33566,30663,33386,35564,38786,32019,42073,33030,35637,31046,33455,26154,644695
166,66406,55480,46777,38732,43117,44007,43480,37312,40243,36484,37407,24346,38024,37279,33518,35980,35912,694504
167,71937,59734,41822,45194,40441,49817,43495,37508,35119,38915,35232,30368,42437,43007,40440,36266,37299,729031
168,56134,49711,58843,45524,38557,41988,39612,44557,40670,38702,32495,25193,28115,41096,37098,30117,39855,688267
169,43780,48034,46826,38239,44373,33426,36966,37594,35213,36794,37311,31934,25403,34866,32746,31449,34803,629757
170,43375,54660,46053,45883,44849,40414,39086,42571,39123,43096,38034,35381,41706,22635,34296,33102,35616,679880
