node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,total
60,22787,7490,3024,8176,22080,19670,9125,33823,6605,16430,9882,15053,4437,10811,10700,8344,12024,22241,5925,15486,5979,9477,3902,6519,10665,300655
61,14890,7523,13149,16304,16104,8776,9068,40812,8577,20587,11423,4631,8624,11388,9295,20430,6655,7141,7849,14194,4387,18102,20199,16766,21051,337925
62,14962,11787,11626,7501,10513,3494,13835,5150,6890,5502,10652,3557,13316,4156,8147,8703,4997,7734,2673,17137,5224,17056,19805,3914,12930,231261
63,12276,7405,5564,5917,11380,8649,10877,3478,9285,2805,7804,8712,6934,6772,11017,5215,8843,7632,7476,4273,8712,2457,7413,6153,3556,180605
64,26091,40674,5096,28877,9341,8571,35513,26938,11861,24278,5672,9882,8479,5578,7608,13242,15573,6731,9114,4791,30728,3708,40999,39856,16921,436122
65,7035,38690,16371,43860,7844,39045,24186,19236,12464,36247,5501,7523,4994,15923,14881,9074,15383,5510,9964,4250,22067,16090,39640,29438,7882,453098
66,21547,2537,15534,4626,8167,28123,38435,5727,15022,17368,4430,8793,13410,13905,6239,11109,7302,14893,14053,16517,9794,3944,6162,16750,7463,311850
67,4663,7076,4631,6571,6788,6122,18471,3294,10728,8232,9224,7462,7873,6584,6091,11992,6195,11821,12467,6158,5652,8140,6352,12639,6152,201378
68,12049,4518,28854,13559,14859,14558,8154,3737,5008,6805,5611,6732,4576,5766,11587,7418,8986,4447,19747,6345,4326,11146,5823,4407,10026,229044
69,11416,12841,8534,20915,38743,30889,43867,28066,2558,34944,5529,10051,7904,5245,17156,11442,7936,14945,18874,4500,10968,11524,14987,12055,17496,403385
70,12439,8979,8969,12895,7965,6534,9692,17785,5260,5505,8936,9448,6446,6512,6883,2926,4721,4126,4293,4496,5707,1467,9886,16954,6671,195495
71,5089,12352,13139,10361,7070,5803,12683,15852,7425,6161,4464,4802,5284,5380,4096,4334,6742,2796,4244,3322,3926,3619,6477,7618,7844,170883
72,44284,12699,7122,18850,12269,32202,28204,30210,12881,20802,6055,11193,12213,9082,5960,11848,17066,14890,7553,23664,5929,17010,15039,12712,5930,395667
