node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,total
78,96000,84000,96000,100000,83000,93000,177000,21000,21000,118000,125000,91000,56000,86000,66000,58000,64000,54000,84000,98000,32000,70000,152000,85000,63000,60000,49000,86000,75000,2343000
79,84000,66000,68000,88000,81000,91000,110000,224000,21000,108000,103000,98000,94000,92000,87000,85000,65000,87000,54000,78000,230000,69000,71000,99000,89000,80000,67000,69000,62000,2620000
80,196000,174000,168000,136000,115000,124000,129000,166000,295000,122000,141000,126000,167000,147000,138000,139000,151000,196000,140000,102000,724000,83000,137000,190000,142000,111000,110000,130000,141000,4840000
81,65000,49000,47000,54000,81000,71000,70000,84000,98000,67000,114000,80000,63000,69000,69000,82000,90000,98000,75000,64000,85000,95000,53000,91000,65000,68000,76000,90000,88000,2201000
82,72000,54000,66000,87000,53000,71000,81000,81000,34000,64000,106000,93000,91000,100000,50000,60000,62000,90000,143000,72000,32000,98000,91000,57000,66000,58000,59000,72000,56000,2119000
83,79000,65000,89000,54000,62000,83000,77000,28000,36000,65000,73000,47000,91000,50000,58000,49000,84000,138000,97000,91000,29000,100000,45000,82000,84000,65000,48000,76000,97000,2042000
84,89000,98000,58000,51000,61000,80000,23000,26000,34000,53000,59000,64000,56000,96000,76000,83000,93000,75000,238000,124000,29000,92000,97000,60000,82000,75000,47000,44000,57000,2120000
85,129000,60000,65000,49000,55000,22000,25000,27000,31000,42000,66000,73000,90000,98000,79000,89000,61000,66000,165000,204000,33000,38000,50000,48000,52000,86000,92000,68000,87000,2050000
86,26000,20000,21000,21000,21000,23000,29000,32000,39000,42000,36000,38000,37000,39000,36000,36000,38000,39000,37000,33000,37000,39000,41000,35000,34000,37000,38000,39000,34000,977000
87,27000,20000,21000,21000,21000,21000,20000,20000,20000,23000,35000,38000,37000,38000,35000,35000,39000,40000,37000,33000,37000,38000,40000,41000,36000,33000,37000,39000,35000,917000
88,28000,20000,21000,21000,21000,20000,20000,20000,20000,23000,34000,34000,38000,38000,34000,35000,38000,40000,39000,33000,37000,38000,40000,42000,35000,33000,38000,37000,40000,917000
89,25000,20000,20000,20000,20000,20000,20000,20000,20000,23000,33000,34000,36000,36000,37000,34000,33000,36000,36000,32000,35000,35000,37000,37000,33000,34000,35000,35000,37000,873000
90,25000,23000,20000,20000,20000,20000,20000,20000,20000,20000,32000,32000,33000,33000,34000,31000,32000,33000,34000,33000,33000,31000,34000,34000,35000,33000,33000,33000,34000,835000
91,24000,21000,23000,20000,20000,20000,20000,20000,20000,20000,31000,30000,31000,31000,31000,31000,30000,31000,32000,32000,31000,30000,31000,33000,32000,30000,30000,31000,31000,797000
92,23000,21000,21000,23000,20000,20000,20000,20000,20000,20000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,759000
93,22000,21000,21000,21000,23000,20000,20000,20000,20000,20000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,721000
94,67000,64000,82000,79000,99000,23000,20000,20000,20000,20000,58000,59000,94000,76000,100000,90000,51000,48000,50000,38000,32000,209000,163000,62000,61000,85000,77000,91000,71000,2009000
95,33000,44000,56000,53000,44000,106000,108000,125000,115000,131000,57000,58000,78000,101000,60000,90000,59000,46000,76000,190000,33000,85000,48000,43000,40000,97000,86000,67000,93000,2222000
96,22000,31000,40000,39000,39000,44000,26000,21000,21000,21000,39000,35000,35000,39000,37000,34000,35000,40000,39000,33000,37000,39000,38000,34000,37000,39000,40000,36000,37000,1007000
97,23000,21000,21000,20000,20000,20000,25000,26000,21000,21000,37000,39000,35000,39000,38000,34000,36000,41000,39000,33000,37000,40000,39000,35000,33000,37000,38000,35000,38000,921000
98,24000,21000,21000,20000,20000,20000,20000,25000,26000,21000,37000,38000,34000,38000,37000,38000,35000,41000,39000,33000,37000,40000,40000,36000,33000,37000,40000,34000,36000,921000
99,24000,20000,20000,20000,20000,20000,20000,20000,24000,20000,35000,36000,33000,34000,36000,36000,32000,36000,36000,35000,35000,37000,37000,33000,33000,36000,36000,33000,36000,873000
100,25000,20000,20000,20000,20000,20000,20000,20000,23000,20000,33000,33000,31000,32000,35000,33000,32000,32000,35000,33000,33000,33000,35000,33000,33000,33000,34000,31000,33000,835000
101,25000,20000,20000,20000,20000,20000,20000,23000,20000,20000,32000,31000,30000,30000,32000,31000,30000,30000,33000,32000,31000,30000,32000,32000,30000,31000,31000,31000,30000,797000
102,25000,20000,20000,20000,20000,20000,22000,21000,20000,20000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,759000
103,25000,20000,20000,20000,20000,21000,21000,21000,20000,20000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,721000
104,24000,23000,23000,22000,21000,136000,128000,136000,120000,93000,59000,50000,96000,71000,88000,104000,40000,44000,45000,102000,32000,195000,75000,45000,57000,79000,55000,99000,66000,2128000
105,20000,20000,21000,21000,84000,98000,93000,87000,91000,91000,51000,56000,48000,39000,46000,64000,83000,61000,82000,105000,31000,115000,126000,93000,69000,83000,53000,56000,49000,1936000
106,20000,20000,21000,76000,66000,87000,81000,93000,72000,112000,47000,64000,77000,68000,48000,55000,63000,70000,47000,108000,31000,76000,85000,73000,99000,50000,46000,83000,83000,1921000
107,20000,20000,78000,68000,60000,78000,78000,66000,75000,127000,94000,76000,96000,79000,59000,46000,49000,53000,72000,94000,32000,67000,142000,52000,48000,58000,50000,68000,64000,1969000
108,20000,73000,59000,53000,57000,63000,61000,75000,79000,151000,79000,118000,58000,62000,80000,67000,73000,68000,53000,77000,213000,68000,76000,64000,64000,78000,55000,56000,50000,2150000
109,261000,153000,132000,122000,115000,88000,75000,86000,93000,111000,114000,122000,120000,119000,120000,101000,100000,119000,117000,91000,723000,74000,125000,120000,86000,86000,96000,93000,99000,3861000
110,52000,61000,48000,41000,42000,41000,59000,66000,65000,66000,100000,75000,52000,59000,61000,82000,62000,64000,75000,65000,84000,88000,57000,74000,69000,65000,75000,62000,54000,1864000
111,54000,35000,46000,56000,42000,51000,67000,42000,63000,70000,68000,83000,63000,64000,53000,60000,48000,54000,140000,70000,32000,94000,76000,57000,51000,47000,59000,65000,83000,1793000
112,46000,27000,31000,35000,61000,51000,70000,44000,49000,63000,50000,48000,81000,75000,47000,50000,80000,86000,91000,80000,29000,101000,48000,76000,61000,55000,49000,72000,62000,1718000
113,50000,23000,25000,28000,23000,70000,72000,43000,38000,45000,44000,55000,56000,57000,61000,84000,78000,75000,138000,118000,29000,85000,90000,63000,81000,62000,46000,42000,50000,1731000
