node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,dir_29,dir_30,dir_31,dir_32,dir_33,dir_34,total
804,82167,109719,330065,70123,37679,98701,90872,183799,39979,59769,106095,73267,122058,41540,192773,122559,44956,39812,40101,111527,186673,90274,246299,6475,34697,27508,29593,31575,31736,38063,35684,130737,118727,140675,230038,3376315
805,33413,222356,51979,151548,70297,162391,82960,119759,83991,55652,84852,60942,145651,73239,185591,79176,152965,100488,139817,175768,165600,323884,113799,31318,46128,37891,38484,39519,71018,67671,57919,51121,44156,41298,2370,3365011
806,34539,148121,50648,124583,54765,111486,65712,60516,77735,63140,109567,72662,108462,79627,96494,87903,115438,137734,125335,195357,101729,236134,91181,45605,43475,45817,40584,36431,58849,65680,66502,59372,49265,42835,43386,2946669
807,31225,124925,57816,105106,61505,57156,68090,58481,103017,72673,93266,82869,105465,89585,109257,120937,107382,225833,99362,208579,99949,107826,84390,60208,48729,47738,40680,59309,52557,69097,71333,58085,54852,43193,44570,2925045
808,46764,119107,58159,56434,69972,59451,102147,63773,84570,79265,104709,89395,95188,109210,100579,67429,98950,238693,93321,150513,86489,82435,70891,57165,47567,40928,58809,57350,64700,81762,67547,57665,48953,43928,41932,2795750
809,34997,52169,58391,59371,97564,57772,59580,59777,65861,77206,73492,86704,67778,86340,70645,161425,66435,137140,70026,65662,58348,52294,52827,34211,22004,52158,48938,49013,49354,69791,45186,43311,46454,32632,35445,2200301
810,35089,257781,117738,189120,120136,77962,66857,74430,147692,88789,58431,152514,82727,260281,67352,108099,252776,123625,86993,56811,68238,184859,117730,23624,26168,60696,53275,55139,65037,64718,41080,45541,33399,29649,38660,3333016
811,127225,302408,122742,97298,73215,112027,169716,91277,64644,114309,192126,190262,81235,130621,91409,220968,75113,78961,59503,147499,74287,116246,84215,149274,57580,50707,52776,64401,64726,82654,42002,40960,37539,33028,25912,3518865
812,81908,268336,85255,74082,140787,73558,62193,158703,51567,132781,72142,66015,76061,52911,173488,83419,44132,169247,62700,63196,101282,199120,61876,47817,129531,24489,49129,49111,54628,54008,74353,30369,26511,40648,24472,2959825
813,63104,282852,119176,68379,70404,92033,80434,150869,69143,102644,48574,52094,97822,163809,44651,63312,67106,60926,94815,211970,55112,84602,58468,42375,36780,185271,37844,51289,47334,40165,51396,45259,26755,31264,18992,2817023
814,64180,98757,114121,160808,134095,139408,164173,121567,293683,89702,145358,49863,229429,90983,120134,68737,41016,46971,93457,42239,40280,114785,70840,35302,32107,38996,298076,50134,53145,43504,51004,43997,42968,40774,26681,3291274
815,46037,118371,154376,77687,40062,78000,47106,39556,72934,79537,56093,125732,50893,146304,51449,244745,65430,114950,58823,96647,68240,69924,62119,35148,30832,31841,35933,284376,58178,43654,33272,34572,33688,38308,27978,2652795
816,270776,86522,307578,65054,415550,146992,190557,84715,197710,72217,148869,127836,84201,168731,108608,183600,126851,238742,119597,236370,269165,226857,371191,93178,50414,49580,45694,36020,210381,95872,39809,34808,32918,49920,25234,5012117
817,218624,110687,385564,115761,153749,68528,289238,77619,90602,162259,54436,192655,97070,169655,81157,112700,194454,137634,184339,234036,143679,121842,437992,173488,49347,42885,40275,31601,104842,297095,35167,31461,31368,40657,29288,4741754
818,173341,235318,199664,241860,224717,63298,59753,75404,212610,137476,78951,167487,114681,367056,103710,107540,277796,318259,259353,94584,280910,241174,322494,115309,103043,50156,45415,36703,98136,110316,282059,38951,30789,32750,20249,5321312
819,139620,288690,420757,100398,75678,145707,220542,200977,72133,94049,306877,122686,125944,95978,135634,306088,131417,122361,251202,205996,303421,148885,290132,90538,72865,85711,46671,40939,121950,119822,128317,334242,28001,63911,26384,5464523
820,130214,219668,75069,70760,168826,100313,70563,151762,67779,82008,95473,92508,126077,81947,232951,125381,194035,235951,165434,95509,135878,200755,104762,48031,47739,53442,68185,41182,50457,36441,35888,31247,136096,45364,68555,3686250
821,48699,258406,180727,102227,69546,68678,87736,109210,90543,119072,107730,92996,159432,197832,193637,84444,146746,57474,154354,211814,71984,90015,96389,46605,52693,51916,62503,58736,39429,41646,30105,32339,34670,212237,66551,3529121
822,27346,110601,97158,157609,142584,106983,172626,118751,330050,91242,176016,68125,302655,88701,154780,84938,70367,55705,104367,51975,56913,107625,78354,47338,43945,48912,45119,72556,43247,39570,33898,31528,30987,262683,63595,3518849
823,37711,98639,196032,68239,81255,88390,118773,59152,102728,121627,213319,145533,106119,128794,97664,204666,90883,112260,75045,100950,90416,79996,76042,54717,49079,48588,58671,73409,45152,42483,34826,28668,54215,230794,75201,3290036
824,40651,92766,91055,65991,301254,130641,95289,63988,144393,79018,183477,95779,58872,54047,84167,48633,56028,89582,47611,75174,55542,64495,225691,55271,45023,45434,50936,44937,29650,30425,24371,46081,40906,218397,39086,2914661
825,56022,98357,317704,120850,126933,64345,256912,57358,104153,142210,48749,79340,49113,79340,47227,56700,124741,58344,64586,98476,50026,70957,197487,49527,32555,37097,34644,37977,29578,25370,39909,37321,91603,249253,12206,3046970
826,125816,133715,183569,80673,170324,53351,96788,62072,181923,84266,70528,80109,49057,292834,44250,57362,61985,213282,113886,51824,92806,50386,234606,46915,33833,39032,33618,37546,23836,36495,36662,89679,117367,327452,39786,3447633
827,87636,110003,336038,75305,41827,99403,102682,169115,42060,58072,117673,69881,58208,47283,53689,118924,42394,40669,40058,95445,241291,75591,252229,6957,37054,27230,26790,28656,32480,33270,31801,136071,131452,155365,270190,3292792
828,27673,68986,70753,56382,53879,67396,50476,165249,52090,80587,50036,46204,42219,48488,37912,47894,70574,46262,44443,40768,51400,44421,49555,7037,49926,35043,31981,40277,32952,35157,40490,35403,31798,43115,2765,1699591
829,30333,93194,61693,59820,95197,58124,73037,61354,79230,78751,59499,69041,77252,66190,236091,66124,125178,56966,59177,53089,70605,47095,67646,15388,31154,61146,37228,37836,67439,62326,40671,51392,36287,42086,42536,2270175
830,26183,157308,63617,55500,228395,60709,231593,63101,146448,70649,63164,190419,96630,193297,67873,168535,127099,94530,155267,192725,187265,381243,151129,33792,37340,40682,47712,68203,271389,46630,63274,115751,41337,48826,82591,4070206
831,53290,50999,52196,64081,54072,101612,45023,62936,44757,49450,38397,45603,36716,45914,68151,49681,41659,39971,44378,43694,48777,47721,44040,16772,32066,43147,32138,36466,41404,33833,33378,43860,33006,30222,38589,1587999
832,36187,50280,88368,64878,77428,52660,68430,71720,57923,64303,79855,82524,81223,68393,177162,62607,82439,56198,76496,45548,71573,75029,59000,13218,32928,70826,77609,37590,68018,40858,38963,48006,49983,31691,40168,2200082
833,47647,266877,217298,74367,261879,92539,179548,67509,146858,161494,92297,362462,95209,245893,132636,81333,358299,200134,174417,120817,178894,365146,141362,32856,15884,267459,41887,50762,184744,41159,54470,103946,38147,40086,77959,5014274
834,68421,299856,120052,151050,50240,139179,214407,57113,49625,69298,51171,125628,92499,57009,84614,182451,56054,61770,45590,170907,54208,119880,80646,168733,49457,51937,37104,34982,52620,37402,38918,41743,41824,34136,28635,3019159
835,84134,268972,108372,78810,272467,74109,67125,135222,79854,77528,145367,57189,177267,70430,223454,93938,60965,54128,88982,131340,127061,192905,81990,37306,141909,47853,77980,39162,30573,73006,45309,28140,42768,61841,29420,3406876
836,203692,87202,204542,52263,130508,62698,85723,266872,133228,162841,57298,117753,136858,188105,104381,124781,133565,175968,192579,375200,94304,125848,118657,26546,46882,213318,34598,96355,31078,40145,172346,29431,39709,79236,31114,4175624
837,69720,111567,128725,130669,133055,91136,169142,105218,75695,83663,88092,43053,204611,75611,235268,70107,41984,43682,120199,39572,44875,267338,69397,42608,33590,37615,323220,56140,50477,31873,30648,44489,31188,31217,21564,3177008
838,103918,79242,266055,115784,55757,102250,65365,70767,121423,190156,109609,138031,71292,106030,76399,49761,85937,196318,77183,97012,68763,83277,70220,29811,48664,40358,27965,256862,51951,63851,39089,27578,59315,45136,37976,3129105
839,156656,80612,137119,68193,290360,171718,105187,108504,75207,84885,187672,102603,95832,102835,140294,146953,129307,256238,76378,84490,66709,160758,78767,32213,50306,88733,27043,45404,265603,116838,77097,32002,37205,132587,29922,3842230
840,440706,92695,477153,137320,117512,415898,86409,397204,127933,344372,118530,162977,329397,155861,330032,82022,355053,175243,145468,459873,245829,341633,390888,36182,62870,153411,34640,57541,215991,349254,16287,38720,46774,94228,34949,7070855
841,73827,233667,123119,102158,165124,101045,126526,69735,303688,88564,71178,240212,156394,108546,68223,91721,223121,290154,126817,46242,87138,208820,332928,55263,38246,39804,30951,48933,113537,114230,282924,15425,50777,35375,20468,4284880
842,126241,305846,449820,163459,78916,195639,277826,189488,64968,67183,145028,193589,319935,153620,121357,400232,78354,101602,115885,218469,80302,155190,298753,31263,84761,66437,30434,42011,181509,127609,146426,363909,15934,75052,17350,5484397
843,146993,237326,80424,183101,279871,195665,58494,248411,65082,66198,162558,90611,168386,59587,285261,133765,74607,120442,135924,162792,193429,297576,183859,32013,40097,251556,32203,37558,85533,27344,41557,55531,164879,28799,34403,4461835
844,57604,66672,226775,67194,118058,49691,101703,180063,124125,81899,48460,70758,101066,165941,44438,62727,68013,57375,109537,202979,69013,81375,76623,47816,33905,34240,50960,35103,42999,36280,43014,34616,24898,229985,54920,2900825
845,30143,114539,107690,181633,152609,122186,211066,113001,100044,102551,129393,129670,233306,203599,264466,102513,56269,70010,86173,60422,126798,281037,106764,60907,33774,24465,76428,54604,26704,37149,79882,24890,38587,354908,85566,3983746
846,37882,181679,275805,160961,53711,165941,69286,64482,128296,252834,152635,183832,129139,98824,83159,126961,133625,183689,181813,164998,184501,102345,116261,77753,26617,35056,215607,34299,46161,84886,27860,33248,50130,283129,77641,4225046
847,56246,86683,125867,66775,317863,125143,47617,59911,66236,44990,149676,105013,46515,42186,85647,84693,75738,78397,44553,67195,51868,110324,60452,56777,31386,39894,52686,35112,34030,32893,41086,38185,38985,235547,34653,2670822
848,46137,116422,281518,138119,82480,70651,75429,68430,117439,240456,61424,166638,58657,113456,53904,60837,126624,87543,139494,260841,61597,73311,235799,59383,36958,30860,61027,41488,26735,34688,49069,40140,102408,288538,13034,3521534
849,119840,229605,150809,175742,166163,68403,136873,86663,245823,102568,134382,121843,168543,111650,98469,122527,148378,365047,322677,93641,133663,112751,292583,102021,59489,42274,106858,25082,40366,55288,92912,98257,140071,370168,41849,4883278
850,71453,140801,358571,82426,44436,101118,107149,194898,40861,68090,127554,74571,324466,39053,59494,147005,44659,40914,72947,109673,63469,79487,247048,5482,33585,27088,29003,36140,32476,31181,32743,154533,148121,183354,323762,3677611
851,29502,120199,64327,57543,122032,71485,111342,109768,68140,124409,80234,56992,108848,82009,98333,90199,76146,107467,261813,87121,93451,73279,93197,17233,45970,36294,53632,48400,45020,39784,63876,58234,41676,39218,2713,2679886
852,33113,85607,87799,58419,77162,60146,59441,63694,74791,76428,69310,65179,68792,160482,71604,88416,64992,68167,133981,60091,52451,50651,67158,21169,34272,35975,37140,56646,42974,34904,46231,49615,44183,36292,38057,2175332
853,32395,47423,63387,57228,58318,53052,58400,47345,129359,49960,50591,45546,52978,95370,50336,49271,41019,53494,54686,47608,46351,43072,47668,19865,37702,41092,41311,40923,37996,36537,38733,47417,43549,33144,31636,1724762
854,64655,57820,52684,60651,43760,44678,36695,41330,66671,39901,40087,39507,44263,44849,39436,44293,38939,42334,37292,42363,52654,37944,43023,10584,30136,37400,37781,33129,32933,32977,36244,31361,39139,28716,29940,1436169
855,40767,60650,285490,56747,160660,61527,62665,195261,56120,158622,153590,75711,221498,89792,70472,177768,125142,183528,148891,144959,170946,214408,130086,12082,40527,51258,38246,155330,65087,53436,42184,39935,93462,53403,43696,3733946
856,48486,278941,179260,58079,157938,158617,100574,115807,192503,59663,89003,104557,108911,218634,109952,102236,355035,139930,126482,99425,136893,402633,108495,80032,34350,42675,83197,134855,52841,47093,36063,95422,54031,45756,42063,4200432
857,129747,282387,186421,102401,66610,151067,72671,79906,71453,185666,82045,218679,100453,86923,92636,284995,162354,78890,61024,142373,106489,150540,87831,247209,57066,58076,62795,96469,41446,28247,65968,74080,40055,41017,27433,3823422
858,66474,74298,90112,91574,293256,57534,110719,108645,51591,49510,82740,107124,86502,99071,166554,87147,64601,52268,69926,54919,107265,177694,78299,48330,161499,28202,40311,53616,51093,29460,35702,42747,50475,42883,22954,2835095
859,35351,86109,237229,50093,59698,45249,89299,231697,120278,81977,42557,43365,92325,174386,44753,60160,67694,72455,120351,45536,59158,89517,53723,38106,35905,235689,52058,34371,42891,38196,29857,31532,31801,33389,21669,2628424
860,238349,80954,191667,149584,149399,192001,223223,172102,138234,115013,348962,80384,285940,175599,111790,140185,96716,87289,379719,90211,132616,332259,132178,57020,35883,31850,383216,70493,33143,35820,127186,50568,45557,40502,36707,4992319
861,138199,70645,291890,133504,78857,231828,59154,89197,79544,83038,88951,175928,87721,230293,107495,91635,132578,154652,99652,208802,107713,87487,75847,69492,36573,30344,30421,315544,58605,37177,73781,117831,46796,46213,33711,3801098
862,119809,79655,103026,76449,88171,150560,70776,70339,80983,101604,170163,118181,61129,52781,202653,132764,223915,72031,57126,89518,65537,228073,63358,46833,50396,29501,26668,49999,303015,53673,53658,56710,77320,38932,29959,3295265
863,75465,82786,301346,118739,110811,63732,57440,42944,82530,191471,144066,84831,66295,74672,60591,43234,152990,56756,81473,283179,47515,75042,51411,41291,40150,38243,33189,37129,111882,279708,7265,40037,46457,41387,43472,3109529
864,238060,284214,122784,359798,182763,240124,90234,74674,423542,109430,147070,207223,108778,307022,133223,63785,407901,169728,281499,123214,159319,452574,514463,52717,35828,29318,27360,88633,127299,162763,330941,36507,37507,62449,27544,6220288
865,133007,323251,499716,204789,83382,214602,164071,201036,127576,208360,122999,162893,122698,105131,126610,314816,103123,178277,162622,244960,137177,190416,455572,137414,40713,34102,27127,129301,167544,156507,157291,411021,20548,49958,21856,5940466
866,97613,104082,81918,80847,269044,68509,78895,159112,73740,73501,102253,70765,139593,137977,247251,100843,69740,197099,76536,76098,128391,250952,118456,53553,63959,34136,27596,69085,106782,49155,38985,20148,164989,25925,82382,3539910
867,44648,87748,267759,87931,66559,44793,87567,301194,166135,87586,55572,59513,165702,171939,51358,59744,79912,78921,117934,77298,59210,98925,86463,45108,48612,47423,29660,41128,61110,53527,29301,25485,45912,218833,53723,3104233
868,42561,85373,161959,148243,176028,97573,205807,157221,62252,88421,267747,56486,238789,102718,68986,85177,43241,43944,301928,41829,94326,254290,81863,39013,40496,37922,32336,40482,35313,41474,30978,37475,33154,374096,50811,3700312
869,44976,244161,225385,215069,76524,205060,145794,82887,134828,120507,90234,272592,73856,232024,190940,125967,169456,179735,108225,187072,174203,130735,171684,27572,22903,136365,55551,54108,37746,29030,81670,49702,35340,291317,57575,4480793
870,36268,164771,90501,113742,109488,121489,106168,77265,64309,82639,234807,123281,94210,78710,118194,144173,219234,138659,80739,128952,203922,235610,90847,32188,69179,146455,47184,36139,31294,84026,56270,37904,30606,293564,41201,3763988
871,46635,115750,268542,112980,89390,95333,67353,72885,94402,178759,214182,104673,71168,85123,74313,165499,131403,70734,60566,285340,97401,80835,80842,49552,60280,68369,37463,33654,52171,52739,37118,36440,108709,318711,14479,3533793
872,100313,143500,150004,160563,162278,109327,77349,70635,188026,103987,131998,90893,73637,65591,102478,65351,73163,61141,114796,57159,104876,134499,263542,53645,52992,42954,28001,39256,47265,40064,33594,116514,143693,408697,61776,3673557
873,84541,158464,412154,74388,67148,108043,100701,190769,38393,64317,132419,70555,62211,41803,63506,142014,42762,61515,78701,105766,61578,78924,227918,6087,32666,25714,31156,29823,32177,36737,30900,161598,155274,206024,309096,3525842
874,31535,48643,48124,108131,44235,48882,38344,42548,46138,39251,43398,39613,40218,45261,40351,38853,46101,45399,38553,43833,47134,40686,47745,9926,38742,39089,31719,27029,26163,28667,29618,35076,32207,31236,2537,1384985
875,35650,50398,73802,59252,50937,53461,145934,50900,47538,41010,49975,52365,42012,52796,48699,39915,56458,48527,45389,58068,44775,40600,53446,8484,24107,42250,37909,33034,28999,36185,35491,38202,34201,42663,41430,1644862
876,31528,52050,82942,50928,58765,65921,61672,53829,60125,100974,57091,51953,43061,65968,79998,42127,70155,52142,40340,55305,46149,54401,63574,18996,26724,49828,45031,41839,54974,55645,57851,35676,38949,41940,63950,1872401
877,31507,52399,108962,52493,63939,80173,57906,57887,73035,58163,55654,65156,78533,60927,62832,48248,66506,55568,47066,76383,56431,54148,63074,24952,83268,48733,71042,50770,54591,61848,35498,33400,37614,37640,147955,2114301
878,37125,60114,111843,60539,57566,101351,67118,61791,121460,64114,57878,93500,67902,72625,96882,91917,81656,73142,63881,80037,66642,54746,79280,42197,97105,67528,107544,66106,82591,37424,43543,48564,52270,53064,171993,2593038
