node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,dir_29,dir_30,dir_31,dir_32,dir_33,dir_34,dir_35,dir_36,dir_37,dir_38,dir_39,dir_40,dir_41,dir_42,total
1291,100042,116226,122205,110743,122357,125824,107579,107713,122973,105847,120023,113853,118148,107562,113469,106705,112280,115282,104965,105466,103052,99136,91218,95040,102393,93355,94270,99082,87640,84166,84939,78233,80941,78492,82631,80320,77911,79633,73754,87696,81205,78191,71150,4243710
1292,111212,130179,109845,119193,112188,119221,125475,111305,132710,101016,118677,117239,113566,113022,108342,104091,104406,104681,104322,100766,102599,96067,100981,93283,99776,100710,91596,89988,86284,91154,80834,81334,78623,81454,82801,83656,76899,80209,81252,85446,90053,84818,83740,4285013
1293,104803,121299,110294,124987,115365,120387,130575,110694,114998,131691,119823,104107,116437,105319,99529,93168,100316,90415,101113,91072,97491,93921,92908,90784,98585,96309,94707,95902,91299,82828,84353,80654,84747,79987,85076,86124,86464,79557,89769,85513,93271,79770,85009,4241420
1294,99557,110285,108283,113868,114053,122769,114590,127364,113649,125298,115445,121453,114913,108830,107406,102066,86333,93831,96550,89983,95929,99937,86789,101346,85892,91075,92643,94394,89576,86347,90986,86866,79498,85838,86271,78134,81214,83115,82465,87723,82573,83641,88712,4207490
1295,104859,110669,113178,120442,113497,124869,118756,117417,104045,122070,112435,113845,118530,107362,103699,107181,93304,104072,105458,102600,93579,97615,87067,92270,100362,99221,95906,94494,90245,86644,93610,80729,83181,86367,87694,76023,77897,82761,80027,82059,89012,84823,79803,4239677
1296,110046,126979,122615,143242,111783,111727,117490,111653,116218,115354,113426,115511,124249,110619,103896,99825,92130,96043,98176,100956,94124,98713,91846,92914,89393,89601,87889,92509,94766,86852,78308,78035,78145,81321,78427,74928,72606,75257,79274,75166,86300,72027,80412,4170751
1297,89291,121443,131001,133682,108260,131662,121444,112408,119217,118326,124372,115472,113482,108344,103150,99475,100147,97763,105237,97614,97107,97334,95941,95138,90818,88638,88120,91551,93506,86808,85504,75604,78761,83515,77592,83265,77090,76427,85289,77428,79971,86054,82377,4225628
1298,87014,138744,124391,137052,107371,117404,126246,131498,103304,116557,117057,113493,115277,115339,103964,101569,109922,95977,97032,104054,95552,98543,83974,91698,95349,98491,92364,84768,98563,97033,84365,80830,80361,83981,80777,82498,71648,71733,77083,79973,75419,86727,86485,4241480
1299,92418,147784,131332,139154,117788,119940,119744,124242,110246,115188,116360,106866,112505,109571,112087,104400,109375,105709,97839,103417,103039,95812,91938,94193,99370,92148,92740,99815,94590,86928,81696,76060,76040,80197,75145,82558,80434,81359,82516,81110,73365,89633,79254,4285905
1300,99836,137113,126852,143386,114174,119111,128968,124239,115258,109155,121146,97937,115788,110333,121642,116132,108641,108924,115092,112546,106588,98816,91766,89787,94334,96087,99460,88471,100284,86692,81469,83233,82565,82797,79334,80088,75868,78526,83401,85484,77272,86042,77356,4351993
1301,101215,134940,123847,128155,115715,112760,123563,119699,117476,112403,131151,110418,110059,101256,108549,104523,103241,92961,102377,102556,97899,101771,89466,97363,97418,90163,88810,91969,89997,83093,82244,77764,75809,81907,75041,82739,70769,78652,79197,84731,73615,84436,80330,4212047
1302,89105,121329,126578,130198,117999,123043,124627,121435,121598,110735,109538,107936,106286,112306,113428,108176,91115,107429,96969,93325,103868,90671,86957,95838,93398,88559,102039,92100,86913,85105,82588,86426,80748,83258,82594,77294,84843,81754,83700,83266,84280,81005,88487,4238846
1303,103481,125363,122307,110171,107269,112005,121378,120980,121098,100622,111107,114190,99961,106198,106025,100454,105291,103066,103496,107486,93582,91318,92010,98864,91697,94492,93983,87332,86803,86988,83801,87269,82314,73089,76465,82713,81557,84229,77208,74017,81217,88058,78678,4169632
1304,106270,134357,122470,122578,117698,132603,114872,134416,120709,110807,112692,118193,109759,112948,106532,101645,105529,88758,89516,103603,91791,101488,87334,91553,92112,95395,96327,93869,85842,96371,79371,87101,77031,79365,75734,84248,72969,84271,83715,83744,76750,83591,74560,4240487
1305,117272,96963,97914,110948,106646,103945,100847,119555,104298,115153,113555,104653,108698,96938,99550,95391,97677,92049,100828,101783,85295,100900,93626,93221,83319,85661,98543,89921,95744,91522,90358,91364,101697,95144,88845,88679,85255,87772,87089,92053,92588,90676,90109,4184044
1306,324511,108092,114611,130310,102424,117444,110664,123889,117180,103759,113466,110756,107422,94213,116804,101782,105303,95663,101944,104180,92683,108025,94546,98534,94474,84217,96827,99802,87835,115078,115456,101604,102631,89144,92274,92628,88226,88070,80313,88829,88115,93494,88841,4586063
1307,110171,109335,99490,117164,110786,113781,108577,114377,114439,96681,110641,110621,108579,94655,113834,111383,88871,83711,86880,93094,95011,97066,92909,93605,88153,89220,92349,99084,80167,84928,89475,89335,93087,86786,85225,78829,86702,81207,86098,78805,83821,85187,86521,4120640
1308,145852,125904,97202,98261,123879,127862,93351,108842,102471,98660,109278,100472,109456,94865,105764,97682,87692,97211,93880,111412,85561,90297,96697,84183,97404,92033,93645,89254,98371,88922,94028,96324,82224,95680,89600,82940,88087,89571,83581,86831,88649,80986,92253,4197117
1309,169268,131426,116847,108107,113703,122436,109307,115937,106402,102856,105073,100851,111048,97451,96987,95698,90233,90118,94909,95490,91883,94335,86052,94840,86630,85402,90604,87268,89166,100418,82613,90434,92297,94387,86459,89319,89304,89095,88014,91153,84868,86062,92878,4237628
1310,106671,113301,107617,125158,123998,128470,102240,118104,108311,106603,121507,100631,108345,102022,103032,103587,101141,107699,99158,110316,91236,90957,93033,92255,94285,89651,87179,92051,92833,83093,84063,88252,89618,88958,88443,79532,85636,84781,82628,84815,85087,89872,84352,4220521
1311,106156,122212,91546,102733,124326,130178,106431,109599,107142,102263,110906,113887,115594,94245,104544,114061,96580,93539,93176,100495,87773,87027,84207,101195,98816,89295,94913,93073,100327,89346,80974,94761,90670,82333,82376,80513,86084,90821,86808,84665,86610,85253,85340,4182793
1312,97856,111704,112376,123084,127733,125570,102960,111878,113610,109288,107929,97994,121087,99892,98493,104068,101792,100524,85693,113070,102690,96985,100586,87072,95901,96581,87961,90387,90738,82453,87848,91375,82103,83008,79087,81754,78462,81096,78323,88304,80663,76194,87960,4174132
1313,94319,114265,100055,109327,111507,108816,111246,120170,126254,115241,114869,106207,114203,105149,104663,98628,106538,98534,103087,103988,100900,96156,93140,93405,97603,88668,87401,90109,96892,84350,93326,84324,89595,82241,88863,88054,83862,85775,85155,81004,88244,81142,86454,4213729
1314,101212,117551,109941,122551,125625,128604,104313,109785,121905,114006,113229,110845,117385,102733,100734,107562,97213,109596,103397,108186,97033,102809,93616,102256,96835,92236,87442,88960,94953,97234,86765,87298,90777,77552,91515,87902,86029,83677,87649,85810,82025,85437,84337,4296520
1315,110178,127613,105181,116691,113548,131633,105589,110485,118749,126031,120866,116341,109082,109335,111234,108258,116884,106142,106525,100090,106071,97816,96751,99037,98123,89806,91661,86350,91651,77313,80584,85755,89945,83562,78319,86355,86905,83035,76173,83870,79539,83363,82640,4285079
1316,89916,117631,109293,129034,116138,122921,116651,107703,109724,115767,120230,114041,113749,111832,107944,105725,110091,112991,104943,108000,96812,102203,98769,98912,101344,96198,93109,83928,97349,83879,98712,89818,89528,86007,85676,76529,85219,80444,81437,78374,87451,83532,87660,4307214
1317,93129,124100,105945,117636,103341,120706,119598,125828,111218,107265,110305,116654,118120,106839,110443,109239,106782,92002,92121,99706,98085,90322,106134,93280,87700,90775,86055,86018,90670,79985,92094,81539,85588,93654,82559,90060,79131,93681,79387,81266,81681,85305,79574,4205520
1318,93636,120607,109634,112710,109137,115695,110704,116316,115482,108945,113188,101937,111117,105135,99023,97068,92041,102533,93002,105700,104399,93613,99589,92459,99956,88870,87399,88699,90968,92283,77426,83157,83184,87685,80521,85405,74909,86699,85811,83727,81703,82609,77823,4142504
1319,104509,118141,108111,116494,113626,117271,113312,118136,103904,101732,107736,114122,110435,102156,100583,104054,99974,90526,83529,102723,94392,84593,88166,92943,89167,95700,91232,91649,89847,85638,85720,82384,90138,84596,86616,80448,81321,78597,87627,79761,81529,78348,80871,4112357
1320,94233,105273,100057,124549,122464,116694,123090,124438,109901,120427,123882,105525,108230,116973,106091,110243,105675,100080,95729,93551,101078,91196,95341,86164,96824,94831,93655,86388,85048,84861,89030,88479,80612,83374,82762,87728,76207,83278,74927,86590,85883,79748,83021,4204130
