node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,dir_29,dir_30,dir_31,dir_32,dir_33,dir_34,dir_35,dir_36,dir_37,dir_38,dir_39,dir_40,dir_41,dir_42,total
104,114075,70898,75355,151008,199429,47320,159949,142369,135209,61914,67508,18483,79776,109691,239337,80981,95735,118841,53328,82307,164033,80066,106805,49825,109287,75360,111360,94063,47388,129815,105603,114949,32490,151886,126632,127190,88695,117179,145103,123548,67940,112010,124848,4509588
105,160959,73165,126736,139851,114566,103409,181598,204540,104271,78519,64349,116537,144448,41603,301787,80443,47901,142385,91590,66302,120568,146861,92227,218164,206475,230577,137717,230221,90605,249883,155775,116207,49057,43491,126689,182100,147097,180662,134631,146178,135348,138158,142162,5805812
106,111124,125841,70926,61594,135734,79572,102420,113604,44594,55003,117984,138084,38842,97717,78591,78499,74130,112524,64659,39356,75632,65804,50414,45027,163775,31808,83100,98629,68955,109900,79965,171013,194072,109279,244722,222232,142293,87982,32290,198508,271569,108108,98455,4494330
107,104254,23234,163602,69622,84655,155653,71522,144421,106984,87234,76577,113832,134756,71024,285081,141601,85863,78234,111922,85784,152408,134711,112803,156950,99220,147634,158319,154241,154930,181059,151305,98701,97230,55926,251981,117652,80634,164927,39370,142403,119544,108871,117546,5194220
108,166679,54880,108356,69329,103546,157388,75039,81467,69474,68815,45218,50663,87403,73564,43252,98729,93825,16322,49029,58148,41260,44473,170697,136500,147598,178408,97368,132507,114788,43814,207755,203537,199776,60084,133084,119603,126063,154706,106568,163323,195587,63855,146783,4559263
109,104086,50724,40123,72407,119776,87667,145875,30821,121522,96806,34834,25676,68540,66542,78361,57079,70870,98812,99423,79601,45054,100211,46915,109722,59409,127993,92652,16080,139691,62081,65732,59249,122984,72338,117953,222841,150425,180404,93344,50062,123356,158519,103392,3869952
110,70703,94476,95627,28449,60148,39988,68299,72759,50808,120195,112041,51673,25147,74664,33076,82471,118905,76823,91839,90113,118455,95545,106918,162781,55802,90172,147627,83059,47020,74162,38937,75612,24682,68117,82882,86956,52255,57390,119762,51031,74020,28273,88036,3287698
111,113736,216711,82864,109397,77214,56485,96140,55966,109135,94584,44332,78272,134771,116700,178731,67987,94148,73907,77366,76220,61016,35003,31495,103425,75362,210416,164367,122788,170837,61754,132710,122495,159320,124657,77830,13204,213576,129423,151215,156587,105991,79043,84559,4541739
112,106382,154902,189917,56004,24738,118678,78879,171452,145518,112132,171326,90687,98043,77715,305428,149053,137074,95290,66104,180232,108695,116956,102727,148605,69262,184687,142417,61637,99868,101122,81549,135900,67085,321624,73327,219464,371071,112334,67207,172885,73405,240365,111979,5713725
113,250958,89041,205767,24382,59226,115149,99360,81572,62867,146767,95461,69389,67254,51035,214197,82505,57540,97950,103539,199643,90157,91795,147499,171401,185458,97150,174395,212095,215998,123950,193408,78115,87357,81379,79005,175137,261535,89133,166244,129403,171075,132955,30000,5358246
114,48477,68588,113992,24667,53783,41478,44117,27618,24868,92066,51230,57868,42620,43762,111635,111309,69782,139139,52119,51914,74917,67605,76606,10000,158680,56105,140864,99486,204568,150280,25872,82115,181591,173133,128379,43678,90672,125439,87076,106502,127687,95835,124107,3702229
115,123259,95967,27459,64088,33382,53429,26374,63340,56755,66590,67180,43265,90072,47730,342633,88092,112508,71339,53363,140857,83580,106639,43371,78313,80523,112778,89376,65936,97046,88226,76371,109026,78447,70310,125503,84510,135512,111415,90050,89455,59649,57211,64373,3665302
116,320812,306696,256561,305463,224077,339664,318643,434342,351494,431994,258796,309992,355166,304523,84978,128850,72809,63462,77239,93476,40804,101109,103652,103076,100829,110216,87760,81106,70380,77426,73277,40200,72436,130490,87196,196274,210109,134762,256925,136728,36739,53165,27893,7371589
117,304322,435359,213124,224702,295629,265253,547845,414654,346422,195939,188525,282956,241650,521181,268715,63585,69890,141989,60564,79603,148347,44813,42316,102858,113591,81410,106803,95118,53174,221761,44774,255293,140739,141212,116216,86075,92656,151621,52078,144694,130172,157911,111490,7797029
118,285607,377425,110454,315613,151161,238318,422493,389146,339620,150010,195862,161930,229378,323968,360499,73038,100401,65698,150810,121243,121126,72469,60549,107810,110178,240480,35062,116571,46637,135979,134008,58474,89380,70982,67325,88226,81397,142899,102118,110126,88967,123422,101475,6868334
119,116865,179339,73529,60192,70332,67101,310491,84701,147261,78492,86082,93649,98138,206960,88717,94381,52929,53712,55706,70424,38664,134913,52759,103629,74776,59719,121888,83077,45856,56452,82057,66902,108799,159473,50077,60823,63398,80699,54904,16031,66518,137608,90067,3898090
120,398517,197578,205675,231897,79078,130864,118054,198370,138737,198203,137532,152785,89932,58479,72665,76219,106902,61885,54432,142342,41711,112903,125009,92332,37219,108005,115186,152877,91773,151106,77940,67125,33239,81727,137191,168979,58940,178357,104786,70246,157942,70441,37047,5122227
121,203462,125777,224168,107498,37923,123922,81821,98668,198446,195683,72536,80861,79921,63581,43118,104058,80180,63381,109866,106437,153459,28810,54714,46071,44646,83262,59783,68706,89041,74943,157301,10000,133311,111766,61053,81802,46268,44499,77194,46531,124461,159830,97728,4056486
122,271472,205239,195699,126673,154595,36000,131779,136436,163331,286530,237074,221415,73736,216871,88394,45418,46863,102501,43766,97101,56429,126730,72622,127427,31240,79897,145333,25484,85928,75668,99422,28927,120348,76191,71069,78332,62551,156267,151190,37922,229791,52872,183578,5056111
123,245666,197410,227700,149313,160509,205336,195360,67202,168797,269796,273680,321738,144033,64506,287894,109510,93401,91359,75863,66137,63132,127227,85794,64740,174382,96780,95073,100617,146204,120529,110758,96662,58818,161690,154668,69103,184266,62276,127317,156197,112146,44112,69524,5897225
124,192938,134436,140421,203657,133615,173782,171195,119569,205653,115814,141512,311163,120458,72450,65627,13042,17996,108811,67123,97754,85510,108178,50213,105723,148462,50011,106738,88179,96102,112670,164127,54914,124262,16675,120614,227867,149124,45247,195970,38457,237524,104464,87370,5125417
