node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,dir_29,dir_30,dir_31,dir_32,dir_33,dir_34,dir_35,dir_36,dir_37,dir_38,dir_39,dir_40,dir_41,dir_42,total
1549,402000,46000,238000,154000,44000,114000,97000,101000,61000,76000,44000,51000,48000,44000,106000,73000,43000,114000,48000,113000,60000,47000,51000,49000,46000,112000,47000,52000,61000,48000,53000,54000,115000,46000,47000,119000,93000,49000,106000,98000,103000,81000,83000,3637000
1550,457000,44000,270000,185000,145000,56000,101000,44000,56000,47000,44000,99000,82000,43000,180000,48000,70000,76000,47000,53000,58000,46000,63000,48000,62000,88000,53000,46000,56000,57000,52000,65000,105000,47000,49000,114000,97000,62000,123000,109000,91000,94000,45000,3777000
1551,525000,395000,57000,210000,44000,52000,48000,44000,160000,105000,43000,160000,48000,129000,142000,47000,51000,48000,46000,106000,54000,59000,61000,63000,46000,73000,122000,44000,55000,51000,54000,67000,68000,109000,49000,56000,118000,112000,60000,120000,107000,110000,44000,4162000
1552,585000,44000,55000,53000,44000,208000,167000,43000,293000,48000,116000,117000,47000,57000,56000,46000,75000,48000,69000,96000,143000,46000,63000,62000,44000,78000,95000,52000,49000,48000,51000,63000,69000,90000,170000,52000,60000,150000,44000,74000,131000,125000,117000,4143000
1553,47000,44000,469000,403000,43000,417000,49000,246000,183000,50000,50000,48000,46000,129000,49000,67000,72000,71000,46000,78000,117000,44000,59000,59000,68000,51000,94000,44000,48000,48000,58000,67000,87000,112000,151000,59000,82000,44000,54000,90000,145000,138000,46000,4372000
1554,708000,43000,844000,50000,234000,222000,47000,54000,49000,46000,105000,48000,97000,118000,121000,46000,71000,69000,44000,85000,105000,58000,49000,60000,44000,50000,49000,44000,53000,49000,52000,74000,96000,106000,120000,47000,79000,100000,53000,50000,121000,148000,44000,4752000
1555,49000,167000,104000,48000,50000,48000,46000,62000,48000,57000,57000,57000,46000,57000,57000,44000,57000,57000,57000,50000,57000,45000,48000,47000,44000,57000,57000,43000,71000,67000,87000,84000,96000,56000,77000,68000,56000,67000,62000,74000,93000,74000,75000,2723000
1556,47000,56000,49000,46000,93000,47000,70000,64000,62000,46000,60000,60000,44000,65000,61000,63000,49000,61000,44000,49000,48000,44000,62000,62000,43000,81000,49000,112000,52000,78000,97000,94000,111000,79000,93000,89000,46000,87000,86000,77000,103000,86000,77000,2892000
1557,46000,223000,49000,154000,123000,83000,46000,74000,70000,44000,64000,64000,63000,51000,64000,45000,48000,47000,44000,69000,69000,43000,88000,48000,61000,65000,47000,57000,48000,110000,108000,117000,81000,69000,77000,47000,48000,90000,78000,45000,95000,95000,45000,3102000
1558,354000,257000,184000,46000,131000,91000,44000,86000,75000,86000,62000,71000,44000,51000,48000,44000,71000,69000,43000,94000,48000,130000,57000,47000,51000,49000,46000,94000,47000,49000,104000,112000,107000,70000,92000,47000,51000,49000,92000,44000,47000,93000,88000,3565000
