node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,total
52,83040,90254,101117,71055,82647,89089,72303,78603,99876,92607,95102,93145,85160,83566,81687,76335,70639,67762,68689,68572,64052,72042,64120,58932,64607,1975001
53,79889,94930,91732,110508,75061,73719,88467,80397,100569,100543,97508,82708,84146,89436,92261,74891,67371,76673,67100,71348,64410,63399,61740,67915,66925,2023646
54,67817,80064,83597,95063,40725,75576,90742,88925,94080,101744,89845,90158,85244,82613,76239,80336,75667,72329,67571,64150,64911,70873,69795,61374,67185,1936623
55,76727,76582,86811,82451,101185,59524,74454,89771,102224,112942,89862,88459,91928,89933,78182,77262,77667,79231,70392,69149,69394,73741,70394,66565,69793,2024623
56,66859,76359,96679,90670,90232,65878,70293,86583,104826,94758,87998,94366,96016,74646,79488,84461,74136,71632,72255,65464,68004,65071,71790,72779,68149,1989392
57,68635,81992,95189,86355,92901,75306,80345,77494,101997,95299,94261,98343,87988,87251,82064,79738,78216,77077,68621,66102,69002,66587,69843,70192,70346,2021144
58,68324,68496,84111,87337,85052,72598,69569,81014,99823,95226,118262,97626,78822,76391,75752,75765,71397,76736,71811,68546,67840,69106,71519,70401,67282,1968806
59,77891,73597,79661,99506,84664,78369,60972,67980,106070,98792,96931,92333,92620,81984,75072,76449,81837,77264,74257,75610,74245,72083,69226,73255,73512,2014180
60,78498,88679,74573,79080,91406,75488,88477,68608,106200,104122,101645,91780,83183,88260,74180,79900,75191,75486,79013,72736,71689,62888,71401,70281,68177,2020941
61,73706,87285,75941,77740,86422,71323,85328,62230,101535,100468,97589,101192,93275,81204,81788,84449,74384,71407,63522,68116,72493,71374,69160,70970,67117,1990018
62,63755,82708,76744,70109,89077,75056,75310,61585,103375,101573,101336,92021,85157,86241,79353,76330,69429,86560,72561,70253,71228,68436,76687,64737,63449,1963070
63,70030,83927,71954,75596,95958,79991,81155,64656,107039,107139,97356,96680,90790,79353,81112,79352,72565,67180,80620,74138,69133,63669,82548,69216,72218,2013375
64,73598,64665,77874,60895,68266,85447,78748,71787,110802,105823,98546,95694,111537,80482,79821,73180,74126,73938,75130,72459,79081,76843,75451,70968,66040,2001201
65,72811,66147,95915,73323,71507,81498,80778,72221,109736,104359,93430,98930,86353,81672,83850,66495,77146,75081,81639,73452,76583,76458,61873,66813,63628,1991698
66,82373,72177,73815,90884,69589,67161,74650,75225,104519,107196,95941,93760,85135,83795,78779,83183,80375,74217,69618,69651,73085,70846,63236,66484,61485,1967179
67,87465,91707,69475,71483,97904,76111,60400,76408,109212,108355,98082,94770,89068,98465,78590,72777,78404,82271,71431,71363,69815,71110,78877,66212,59358,2029113
68,80094,97145,77464,74022,90536,71877,69001,89306,93001,96362,97932,100552,90257,82839,72295,70703,70393,69442,66051,58818,60439,64327,65554,62980,59226,1930616
69,74918,96232,94847,44817,78565,89344,75382,73800,100664,87006,86809,84466,84667,76745,73122,72673,71127,65524,72359,70919,67599,55924,64126,60387,55123,1877145
70,73963,89787,96638,87915,72952,69573,78576,71234,97881,89961,94938,97517,80401,80401,79862,75478,70035,64569,68441,69171,65896,59322,70678,64888,64731,1934808
